tail,faa_type,faa_year,faa_serial,faa_registered_owner,faa_status,seats,in_production,comparable_new_aircraft,new_cost_today_usd,new_cost_today_display,cost_basis,site_page,role_in_case
N506KB,Raytheon B300 (King Air 350),2006,FL-506,LASAI AVIATION LLC (Reston VA),Valid,,no,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 successor pricing.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
N828CJ,Raytheon B300 (King Air 350),2004,FL-406,LASAI AVIATION LLC (Reston VA),Valid,,no,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 successor pricing.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
N888FM,Raytheon B300 (King Air 350),2004,FL-418,LASAI AVIATION LLC (Reston VA),Valid,,no,Beechcraft King Air 360,8400000,~$8.4 million,King Air 360 successor pricing.,site/docs/Planes/LASAI-Fleet/overview.mdx,LASAI Aviation King Air fleet
SU-BTT,Dassault Falcon 7X,2014,,Egyptian registry (not in FAA database),Foreign registry,,no — 7X built 2007-2021,Dassault Falcon 8X,58000000,~$58-60 million,"Falcon 7X out of production. The Falcon 8X is its direct successor at ~$58M base / ~$60M+ optioned. The 7X itself listed at roughly $40-45M when new, and about $54M at end of production.",site/docs/Planes/SU-BTT/overview.mdx,"The ""yellow plane"" — lead tail of the following claim"
SU-BND,Gulfstream G550 (trackers also cite Gulfstream IV-SP),,,Egyptian registry (not in FAA database),Foreign registry,,no — G550 ended 2021,Gulfstream G600,58800000,~$58.8 million,"G550 out of production; the G600 is Gulfstream's in-production aircraft in that cabin and range class. If the G-IV subtype is correct instead, the nearest new equivalent is the G500 at ~$45M.",site/docs/Planes/SU-BND/overview.mdx,"The ""blue plane"" — second lead tail of the 73-overlap tally"
SU-BTU,Dassault Falcon 7X,,,Egyptian registry (not in FAA database),Foreign registry,,no,Dassault Falcon 8X,58000000,~$58-60 million,Falcon 8X successor pricing — same basis as SU-BTT.,site/docs/Planes/SU-BTU/overview.mdx,Armada tail; reported as Egyptian presidential aircraft
SU-BTV,Dassault Falcon 7X,,,Egyptian registry (not in FAA database),Foreign registry,,no,Dassault Falcon 8X,58000000,~$58-60 million,Falcon 8X successor pricing — same basis as SU-BTT.,site/docs/Planes/SU-BTV/overview.mdx,Armada tail
SU-BGM,Gulfstream IV,,,Egyptian registry (not in FAA database),Foreign registry,,no — G-IV built 1985-2002,Gulfstream G500,45000000,~$45 million,"Gulfstream IV out of production. The G500 is the closest in-production Gulfstream by cabin class at ~$45M list; the larger G600 runs ~$58.8M.",site/docs/Planes/SU-BGM/overview.mdx,Fifth armada tail
99-0404,US Air Force C-37A (Gulfstream V),,,US Air Force — 89th Airlift Wing,Military,,no,Gulfstream G600 (USAF now buys the C-37B/G550-derived airframe),58800000,~$58.8 million,"The C-37A is a militarised Gulfstream V. Gulfstream V and G550 are both out of production; the G600 is the in-production equivalent at ~$58.8M. Government VIP communications fit-out adds substantially on top.",site/docs/Planes/SAM-99-0404/overview.mdx,SAM VIP jet tracked to Fort Huachuca Sept 8-9 2025
99-0004,US Air Force C-32A (Boeing 757-200),,,US Air Force,Military,,no — 757 production ended 2004,Boeing BBJ MAX 7,76500000,~$76.5 million,"The Boeing 757 has not been built since 2004. The BBJ MAX 7 is Boeing's current head-of-state-class narrowbody at ~$76.5M factory list for a green airframe; a government VIP completion pushes the delivered cost well past $100M.",site/docs/Planes/99-0004-Vance/overview.mdx,Air Force Two; carried Charlie Kirk's casket Sept 11 2025
N885LS,Boeing 737-7EL (BBJ),2001,32775,LAS VEGAS SANDS CORP (Las Vegas NV),Valid,149,no — 737NG succeeded by 737 MAX,Boeing BBJ MAX 7,76500000,~$76.5 million,BBJ MAX 7 is the direct in-production successor to the 737-700 BBJ at ~$76.5M factory list before interior completion.,site/docs/Planes/N885LS/overview.mdx,Corporate BBJ associated with the 99-0004 Las Vegas entry
N888KG,Bombardier BD-100-1A10 (Challenger 300),2013,20402,N888KG LLC (Lehi UT),Valid,8,no — Challenger 300/350 succeeded by Challenger 3500,Bombardier Challenger 3500,26700000,~$26.7 million,"Challenger 3500 is the direct in-production successor at ~$26.7M list. The Challenger 300 listed around $20-30M when new.",site/docs/Planes/N888KG/overview.mdx,Transponder-off departure claim; FBI publicly ruled out a case connection
N560TW,Cessna 560XL (Citation XLS),2005,560-5585,T W LEWIS-AVIATION LLC (Scottsdale AZ),Valid,13,no — XLS succeeded by XLS Gen2,Cessna Citation XLS Gen2,15500000,~$15.5 million,Citation XLS Gen2 is the direct in-production successor at ~$15.5M new.,site/docs/Planes/N560TW/overview.mdx,Scottsdale-Provo-Santa Barbara out-and-back Sept 10
N685QS,Cessna 560XL (Citation XLS),2006,560-5650,NETJETS SALES INC (Oklahoma City OK),Valid,13,no,Cessna Citation XLS Gen2,15500000,~$15.5 million,Citation XLS Gen2 successor pricing.,site/docs/Timeline/other-planes-activity-timeline.mdx,Peripheral NetJets movement in the timeline
N40JD,Raytheon Aircraft Company 390 (Premier I),,RB-35,NUP AVIATION LLC (Princeton IL),Valid,8,no — Premier I/IA ended with Hawker Beechcraft,Cessna Citation CJ3 Gen2,10990000,~$11 million,"Premier I out of production. Nearest new light jets are the Citation CJ3 Gen2 (~$10.99M) and the Embraer Phenom 300E (~$11.0M).",site/docs/Planes/N40JD/overview.mdx,Scottsdale-Provo arrival afternoon of Sept 10
N872RA,Hawker Beechcraft 400A (Beechjet 400A),2008,RK-563,A&E HAWKER LP (Santa Ana CA),Valid,10,no — 400A/400XP out of production,Cessna Citation M2 Gen2,5650000,~$5.7 million,"Beechjet 400A out of production. The Citation M2 Gen2 (~$5.65M) is the closest new entry-level jet; a closer cabin match, the CJ3 Gen2, runs ~$10.99M.",site/docs/Planes/N872RA/overview.mdx,Santa Barbara-Provo arrival afternoon of Sept 10
N582MM,Learjet Inc 60,2001,227,DOJA CONTRACTING LLC (Mesa AZ),Valid,11,no — Learjet production ended 2022,Embraer Praetor 500,18400000,~$18.4 million,"Learjet 60 out of production and the Learjet brand is retired. The Praetor 500 (~$18.4M) is the nearest new midsize jet. The Learjet 60 listed around $13M when new.",site/docs/Planes/N582MM/overview.mdx,Named in the proposed disclosure laws; described in commentary as TPUSA-insider linked
N59906,Piper PA-31-350 (Navajo Chieftain),1974,31-7552027,ALPHA WHISKEY 2 LLC (Brandon MS),Valid,8,no — PA-31 built 1967-1984,Beechcraft Baron G58,1500000,~$1.5 million,"Navajo Chieftain out of production since 1984. No modern cabin-class piston twin fills the same slot; the Baron G58 (~$1.5M) is the closest new piston twin. A new King Air 360 (~$8.4M) is the closest turbine equivalent by mission.",site/docs/Planes/N59906/overview.mdx,Reported survey passes over UVU the morning of Sept 10
N55906,Piper PA-28R-200 (Cherokee Arrow),1973,28R-7335308,Private individual (Winter Park FL),Valid,4,no — Arrow production ended,Piper Archer LX,500000,~$0.5 million,"A 1973 four-seat single-engine piston trainer. New Piper Archer LX runs roughly $0.4-0.5M — the cheapest aircraft in this entire investigation by a factor of more than one hundred.",site/docs/Planes/N55906/overview.mdx,Flagged by John Cullen as a second aircraft of interest
N315NG,Pilatus PC-12/47E,2011,1315,INTERMOUNTAIN MEDICAL TRANSPORT LLC (Salt Lake City UT),Valid,11,no — 47E succeeded by PC-12 NGX / PC-12 PRO,Pilatus PC-12 PRO,6800000,~$6.8 million,PC-12 PRO is the current production model at ~$6.8M typically equipped.,site/docs/Planes/Pilatus-PC-12/overview.mdx,A Utah-based air-ambulance PC-12 — the only sourced PC-12 in the case
N155TV,Bell 206L-3 (LongRanger III),1990,51339,U S HELICOPTERS INC (Marshville NC),Valid,7,no — 206L series ended 2017,Bell 407GXi,4000000,~$3.5-4 million,"Bell 206L-3 out of production. The Bell 407GXi is Bell's in-production single-engine successor: base under $4M, near $5M fully equipped.",site/docs/Planes/N155TV/overview.mdx,KSL Chopper 5 — orbited UVU on Sept 10 2025
N360BE,Gulfstream GIV-X (G450),2006,4054,POTOMAC AIR LLC (Bethesda MD),Valid,22,no — G450 ended 2018,Gulfstream G500,45000000,~$45 million,G450 out of production; the G500 is its in-production replacement at ~$45M list.,site/docs/Timeline/foreign-leaders-meeting-july-20.mdx,Peripheral tail in the foreign-leaders meeting entry
N708JH,Gulfstream GV-SP (G550),2019,5599,UNITED STATES GOVERNMENT / DEPARTMENT OF JUSTICE,Valid,20,no — G550 ended 2021,Gulfstream G600,58800000,~$58.8 million,G550 out of production; the G600 is Gulfstream's in-production aircraft in that class at ~$58.8M.,site/docs/Planes/N708JH/overview.mdx,DOJ-registered Gulfstream named in a tracking-block claim
T7ELL,Not established,,,San Marino registry — no public type record found,Unknown,,unknown,Not estimable,,Not estimable,No aircraft type has been established for this tail in any sourced record so no comparable can be selected.,site/docs/Planes/T7ELL-EJM36/overview.mdx,Flagged tail with no published legs
EJM36,"Not established — reads as an Executive Jet Management callsign, not a registration",,,Not a registration,Unknown,,unknown,Not estimable,,Not estimable,EJM36 is an operator callsign format rather than a tail number so no single airframe can be priced.,site/docs/Planes/T7ELL-EJM36/overview.mdx,Flagged callsign with no published legs
