plane_key,phrase,aliases,page_key,page_file_path,url_path,page_level,aircraft_type,operator_owner,category,autolink_terms,link_enabled,notes
T7ELL,T7ELL,T7-ELL;T7 ELL,Planes_T7ELL_EJM36,site/docs/Planes/T7ELL-EJM36/overview.mdx,/Planes/T7ELL-EJM36/overview,3,Not confirmed in public reporting,Not confirmed — San Marino (T7) registry,Foreign / Flagged tail,T7ELL;T7-ELL,yes,One of two additional foreign tails flagged alongside the five-plane Egyptian armada.
EJM36,EJM36,EJM 36;EJM-36,Planes_T7ELL_EJM36,site/docs/Planes/T7ELL-EJM36/overview.mdx,/Planes/T7ELL-EJM36/overview,3,Not confirmed in public reporting,Not confirmed (Executive Jet Management callsign format),Foreign / Flagged tail,EJM36,yes,Second flagged tail grouped with the armada in Project Constitution posts and the proposed disclosure laws.
Egyptian_Armada,Egyptian Plane Armada,Egyptian armada;five-plane armada;plane armada;Israel/Egyptian Plane Armada;the armada,Planes_Egyptian_Armada,site/docs/Planes/Egyptian-Armada.mdx,/Planes/Egyptian-Armada,3,Group — 5 Egyptian VIP jets + 2 flagged foreign tails,Egyptian government registrations,Group / Hub,Egyptian Plane Armada;five-plane armada,yes,"Group row: SU-BTT, SU-BND, SU-BTU, SU-BTV, SU-BGM plus T7ELL and EJM36."
99-0404,99-0404,SAM 99-0404;C-37A 99-0404;tail 99-0404,Planes_SAM_99_0404,site/docs/Planes/SAM-99-0404/overview.mdx,/Planes/SAM-99-0404/overview,3,US Air Force C-37A (Gulfstream V) VIP transport,US Air Force — 89th Airlift Wing (Joint Base Andrews),Military VIP (SAM),99-0404,yes,Tracked into Fort Huachuca Sept 8-9 2025. Flies under rotating callsigns SAM-702 / SAM-000 / SAM-112. Do not confuse with 99-0004.
SAM702,SAM702,SAM-702;SAM 702,Planes_SAM_702,site/docs/Planes/SAM-702/overview.mdx,/Planes/SAM-702/overview,3,US Air Force C-37A (Gulfstream V) VIP transport,US Air Force — 89th Airlift Wing,Military VIP (SAM),SAM702;SAM-702,yes,Primary of three reported callsigns for tail 99-0404; most discussed on the Candace Owens program.
SAM000,SAM-000,SAM000;SAM 000,Planes_SAM_000,site/docs/Planes/SAM-000/overview.mdx,/Planes/SAM-000/overview,3,US Air Force C-37A (Gulfstream V) VIP transport,US Air Force — 89th Airlift Wing,Military VIP (SAM),SAM-000;SAM000,yes,Second reported callsign reading for tail 99-0404.
SAM112,SAM-112,SAM112;SAM 112,Planes_SAM_112,site/docs/Planes/SAM-112/overview.mdx,/Planes/SAM-112/overview,3,US Air Force C-37A (Gulfstream V) VIP transport,US Air Force — 89th Airlift Wing,Military VIP (SAM),SAM-112;SAM112,yes,Third reported callsign reading for tail 99-0404.
SAM650,SAM650,SAM-650;SAM 650,Planes_SAM_650,site/docs/Planes/SAM-650/overview.mdx,/Planes/SAM-650/overview,3,Not tied to a confirmed tail in the case notes,US Air Force (Special Air Mission),Military VIP (SAM),SAM650;SAM-650,yes,"Callsign appearing in broader citizen tracking of pre-event VIP routes (Andrews, Nashville, Colorado Springs)."
99-0004,99-0004,SAM912;SAM-912;SAM 912;N885LS;tail 99-0004,Planes_99_0004_Vance,site/docs/Planes/99-0004-Vance/overview.mdx,/Planes/99-0004-Vance/overview,3,US Air Force C-32A (Boeing 757-200) VIP transport,US Air Force (VPOTUS / government VIP use),Military VIP (Air Force Two),99-0004;SAM912;N885LS,yes,"Logged to Las Vegas May 27 2025 under callsign SAM912, reported ""Air Force Two."" Distinct from 99-0404."
Casket_Flight,Air Force Two casket flight,casket flight;the casket flight;Air Force Two;AF2;C-32A casket flight,Planes_Casket_Flight,site/docs/Planes/Casket-Flight.mdx,/Planes/Casket-Flight,3,US Air Force C-32A (Boeing 757-200),US Air Force (VPOTUS transport),Military VIP (Air Force Two),casket flight,yes,"Sept 11 2025 SLC to Phoenix flight carrying Charlie Kirk's casket, VP JD Vance, Erika Kirk and family. Specific tail not published."
C32A_Fleet,C-32A fleet tails,98-0001;98-0002;99-0003;09-0015;09-0016,Planes_Casket_Flight,site/docs/Planes/Casket-Flight.mdx,/Planes/Casket-Flight,3,US Air Force C-32A (Boeing 757-200),US Air Force — 89th Airlift Wing,Military VIP (Air Force Two),,no,Reference row only: the C-32A VIP fleet tail list quoted on the casket-flight page. Not individually implicated — do not auto-link.
N102DZ,N102DZ,Kirk's plane;Charlie Kirk's plane;the Kirk plane,Planes_N102DZ,site/docs/Planes/N102DZ/overview.mdx,/Planes/N102DZ/overview,3,"Gulfstream Aerospace G-V (Gulfstream V), 1998, s/n 555",Elderberry Chestnut LLC (Cheyenne WY) — FAA registry,Private / Kirk party,N102DZ,yes,Reported as Charlie Kirk's inbound plane into SLC on Sept 10 from Scottsdale; landed ~3:31 PM per the flight timeline.
N560TW,N560TW,Cessna Citation XLS;Scottsdale jet;T.W. Lewis Aviation plane,Planes_N560TW,site/docs/Planes/N560TW/overview.mdx,/Planes/N560TW/overview,3,"Cessna 560XL (Citation XLS), 2005, s/n 560-5585",T W Lewis-Aviation LLC (Scottsdale AZ) — FAA registry,Private / Donor-linked,N560TW,yes,"Sept 10 Scottsdale-Provo-Santa Barbara out-and-back; publicly flagged by Candace Owens. Reported ownership link only, no wrongdoing established."
N40JD,N40JD,Beechcraft Premier 1;Kolvet plane;N40JD Provo arrival,Planes_N40JD,site/docs/Planes/N40JD/overview.mdx,/Planes/N40JD/overview,3,"Raytheon Aircraft Company 390 (Premier I), s/n RB-35",NUP Aviation LLC (Princeton IL) — FAA registry,Private / Provo arrival,N40JD,yes,Reported arriving Provo from Scottsdale ~4:40 PM the afternoon of Sept 10.
N872RA,N872RA,Hawker Beechcraft N872RA;N872RA Provo arrival,Planes_N872RA,site/docs/Planes/N872RA/overview.mdx,/Planes/N872RA/overview,3,"Hawker Beechcraft 400A (Beechjet 400A), 2008, s/n RK-563",A&E Hawker LP (Santa Ana CA) — FAA registry,Private / Provo arrival,N872RA,yes,Reported arriving Provo from Santa Barbara the afternoon of Sept 10; shares the Santa Barbara connection with N560TW.
N582MM,N582MM,TPUSA aircraft;TPUSA plane N582MM,Planes_N582MM,site/docs/Planes/N582MM/overview.mdx,/Planes/N582MM/overview,3,"Learjet Inc 60, 2001, s/n 227",DOJA Contracting LLC (Mesa AZ) — FAA registry,Private / TPUSA-linked,N582MM,yes,Named in the proposed disclosure laws over an October 2025 Fort Huachuca-to-Kalispell movement.
N888KG,N888KG,Bombardier Challenger 300;BD-100-1A10;Provo vanish plane;transponder-off plane,Planes_N888KG,site/docs/Planes/N888KG/overview.mdx,/Planes/N888KG/overview,3,"Bombardier BD-100-1A10 (Challenger 300), 2013, s/n 20402",N888KG LLC (Lehi UT) — FAA registry,Private / Transponder anomaly,N888KG,yes,"Reported to depart Utah after the shooting, land at Wendover, and disable ADS-B mid-flight."
N888KG_prior_regs,N888KG previous registrations,N100WH;N96AF;N770AF;N147PS;N147TA;N650HM;VR-BJS;HB-VIN;EC-EQX;8P-KAM,Planes_N888KG,site/docs/Planes/N888KG/overview.mdx,/Planes/N888KG/overview,3,Bombardier Challenger 300 (BD-100-1A10),Chain of prior registrations documented in a registry screenshot,Private / Transponder anomaly,,no,"Same airframe, earlier registrations. Lookup aid only — do not auto-link these strings."
Pilatus_PC12,Pilatus PC-12,PC-12;Pilatus PC12;the Pilatus,Planes_Pilatus_PC_12,site/docs/Planes/Pilatus-PC-12/overview.mdx,/Planes/Pilatus-PC-12/overview,3,Pilatus PC-12 (single-engine turboprop),Unknown — no confirmed tail number,Unconfirmed,Pilatus PC-12,yes,"Uncorroborated report of a PC-12 circling near UVU around Sept 10; no tail number, no ADS-B track. Weakest-sourced aircraft entry on the site."
N685QS,N685QS,EJA685;NetJets EJA685;NetJets N685QS,Timeline_Other_Planes_Activity,site/docs/Timeline/other-planes-activity-timeline.mdx,/Timeline/other-planes-activity-timeline,3,NetJets fleet business jet,NetJets,Private / Peripheral,N685QS;EJA685,yes,Tracked near the El Paso / Biggs window associated with the SAM chain. No dedicated plane page.
N315NG,N315NG,air ambulance N315NG;the air ambulance,Timeline_Other_Planes_Activity,site/docs/Timeline/other-planes-activity-timeline.mdx,/Timeline/other-planes-activity-timeline,3,Air ambulance aircraft,Not confirmed in public reporting,Private / Peripheral,N315NG,yes,Flagged departing Provo late on Sept 10 and landing the Phoenix/Scottsdale area ~2:00 AM Sept 11 (claims). No dedicated plane page.
N360BE,N360BE,,foreign_leaders_meeting_july,site/docs/Timeline/foreign-leaders-meeting-july-20.mdx,/Timeline/foreign-leaders-meeting-july-20,3,Not confirmed in public reporting,Not confirmed in public reporting,Private / Peripheral,N360BE,yes,Appears in the July 20 2025 foreign-leaders-meeting timeline. No dedicated plane page.
N708JH,N708JH,Kash Patel jet;blocked FBI jet;the FBI jet,Influencers_x_generalmcnews,site/docs/Influencers/x/generalmcnews.mdx,/Influencers/x/generalmcnews,4,Government-owned jet (type not published),US government (FBI-associated per the claim),Government / Tracking block,N708JH,yes,FlightAware public-tracking block claim tied to FBI Director Kash Patel. Only Level 4 target available — no dedicated plane page.
N155TV,N155TV,KSL Chopper 5;Chopper 5;KSL helicopter,Planes_N155TV,site/docs/Planes/N155TV/overview.mdx,/Planes/N155TV/overview,3,"Bell 206L-3 (LongRanger III), 1990, s/n 51339",U S Helicopters Inc (Marshville NC) — KSL Chopper 5 livery,News / Rotorcraft,N155TV;KSL Chopper 5,yes,"Orbited UVU campus ~1:38 PM MDT Sept 10 2025 at ~1,200 ft above the Losee Center roof; basis of the ""screwdriver wasn't on the roof"" claim."
N708JH,N708JH,DOJ Gulfstream;FBI jet N708JH,Planes_N708JH,site/docs/Planes/N708JH/overview.mdx,/Planes/N708JH/overview,3,"Gulfstream GV-SP (G550), 2019, s/n 5599",United States Government / Department of Justice — FAA registry,Government / Law enforcement,N708JH,yes,Registered directly to the US Government with DOJ named. Absence from public trackers is the expected default for this category.
N885LS,N885LS,Las Vegas Sands BBJ;Sands 737,Planes_N885LS,site/docs/Planes/N885LS/overview.mdx,/Planes/N885LS/overview,3,"Boeing 737-7EL (BBJ), 2001, s/n 32775",Las Vegas Sands Corp (Las Vegas NV) — FAA registry,Private / Corporate,N885LS,yes,Noted against the 99-0004 Las Vegas entry of May 27 2025. Co-location only; no case connection established.
LASAI_Fleet,LASAI Aviation,LASAI Aviation LLC;LASAI Aviation II LLC;LASAI fleet,Planes_LASAI_Fleet,site/docs/Planes/LASAI-Fleet/overview.mdx,/Planes/LASAI-Fleet/overview,3,"Fleet — 3 Bombardier Global, 2 Challenger 650, 6 King Air 350",LASAI Aviation LLC / LASAI Aviation II LLC (Manassas & Reston VA),ISR / Surveillance,LASAI Aviation;LASAI,yes,Fifteen aircraft across the two entities. N1098L and N2100L carry consecutive-run serials 60098/60100.
N9PS,N9PS,LASAI Global 6000,Planes_LASAI_Fleet,site/docs/Planes/LASAI-Fleet/overview.mdx,/Planes/LASAI-Fleet/overview,3,"Bombardier BD-700-1A10 (Global 6000), 2012, s/n 9526",LASAI Aviation II LLC (Manassas VA) — FAA registry,ISR / Surveillance,N9PS,yes,Third Global in the LASAI Aviation II fleet alongside N1098L and N2100L.
N315NG,N315NG,Intermountain PC-12;Utah air ambulance PC-12,Planes_Pilatus_PC_12,site/docs/Planes/Pilatus-PC-12/overview.mdx,/Planes/Pilatus-PC-12/overview,3,"Pilatus PC-12/47E, 2011, s/n 1315",Intermountain Medical Transport LLC (Salt Lake City UT) — FAA registry,Medical / Air ambulance,N315NG,yes,Candidate mundane identification for the untailed PC-12 sighting. Hypothesis only; no source ties it to the sighting.
TPUSA_Aircraft,TPUSA aircraft,Turning Point plane;TPUSA fleet;TPUSA jet,Planes_TPUSA_Aircraft,site/docs/Planes/TPUSA-Aircraft/overview.mdx,/Planes/TPUSA-Aircraft/overview,3,None — no aircraft registered to any Turning Point entity,n/a — FAA registry returns no TPUSA-registered aircraft,Group / Hub,TPUSA aircraft;TPUSA plane,yes,Full FAA MASTER search returns no aircraft registered to Turning Point USA or Turning Point Action.
Aircraft_Costs,aircraft costs,plane cost;cost to buy new;aircraft prices,Planes_Aircraft_Costs,site/docs/Planes/Aircraft-Costs/overview.mdx,/Planes/Aircraft-Costs/overview,3,Reference table — 35 airframes,n/a,Reference / Hub,aircraft costs,yes,Every aircraft in the case priced as a new purchase; ~$1.10 billion combined across 33 priced airframes.
Charlie_Erika_Aircraft,Charlie and Erika's aircraft,Erika's plane;Charlie's plane;which planes did Erika fly,Planes_Charlie_Erika_Aircraft,site/docs/Planes/Charlie-Erika-Aircraft/overview.mdx,/Planes/Charlie-Erika-Aircraft/overview,3,n/a — comparison page,n/a,Group / Hub,,yes,Charlie has one confirmed tail (N102DZ). Erika has none: kirk_tail is empty in 84 of 85 overlap rows and UNKNOWN in the 85th.
