"page_key","level2","file_path","url_path","title","description","why_interesting","rank","use_count"
"After_House_Rental_History","After","After/house/rental-listings.mdx","/After/house/rental-listings","691 W 925 S — Rental and Listing History","Whether the house ever appeared as a rental or short-term listing — the most testable part of the staging claim.","No Airbnb, Vrbo, KSL, or Apartments.com listing was found for the address, but expired short-term listings are routinely deleted, so absence proves nothing either way.","19","5"
"After_House_Prior_Owners","After","After/house/prior-owners.mdx","/After/house/prior-owners","691 W 925 S — Prior Owners and Connected People","The Broderick, Markides, and Theobald owners behind the deed chain, with alive/deceased status and public-records sourcing.","A construction firm was registered at the house's address in 1991, and one early owner died days after the property closed to UVU in May 2019 — recorded as coincidence, with no case connection found.","20","5"
"After_House_Tax_Values","After","After/house/tax-and-values.mdx","/After/house/tax-and-values","691 W 925 S — Tax History and Assessed Values","Utah County assessed values and tax payments for the parcel, used as an occupancy detector before and after UVU bought it.","The county market value sat at $755,000 in 2019 while UVU paid $900,000, and the tax roll goes quiet after the university takes title — the property stops behaving like a private home.","21","5"
"After_House_Search_Log","After","After/house/web-search-log.mdx","/After/house/web-search-log","691 W 925 S — Web Search Log","An open notebook of the exact web queries run on the address, the useful hits, and the dead ends, so research is reproducible.","The single query that broke the case for this section surfaced a Utah Board of Regents agenda revealing UVU had quietly bought the alleged staging house for $900,000 in 2019.","22","5"
"Amfest_Candace_Invitation","Amfest","Amfest/candace-invitation.mdx","/Amfest/candace-invitation","September 9: The Candace Invitation","Charlie Kirk reportedly texted on September 9, 2025 that he would invite Candace Owens to speak at AmFest.","One day before he was killed, Kirk reportedly texted that he would bring Candace Owens back to AmFest; Owens says three separate sources told her Kirk feared 'they' would kill him.","1","5"
"Amfest_Tucker_Invitation_Fight","Amfest","Amfest/tucker-invitation-fight.mdx","/Amfest/tucker-invitation-fight","The Fight Over Tucker's Invitation","Allegation that Kirk was pressed at an August 2025 donor weekend to rescind Tucker Carlson's AmFest invitation, and refused.","Grayzone reporting, citing five sources, says a Bridgehampton donor weekend 'went off the rails'; an attendee described Kirk afterward as 'hammered,' 'horrified,' and worried about 'blackmail.'","2","5"
"Amfest_Donor_Pressure","Amfest","Amfest/donor-pressure-bookings.mdx","/Amfest/donor-pressure-bookings","Donor Pressure on the Lineup","How alleged donor pressure and publicized private texts shaped who Kirk was allowed to book at AmFest.","Texts publicized by Candace Owens attribute to Kirk, roughly 48 hours before September 10, that he lost a major donor for refusing to cancel Carlson and was left 'no choice but to leave the pro-Israel cause.'","3","5"
"Amfest_Go_Max_Tucker","Amfest","Amfest/go-max-tucker.mdx","/Amfest/go-max-tucker","""Go Max"": Kirk's Instruction to Tucker","Kirk's reported backstage instruction telling Tucker Carlson to 'go max' before his July 2025 TPUSA stage appearance.","Megyn Kelly says she captured Kirk backstage telling Carlson 'Go max…' — amplified as Kirk wanting Carlson to hit hard on Epstein and Israel, reaching roughly 962,000 views on one post.","4","5"
"Amfest_July_20_Anchor_Week","Amfest","Amfest/july-20-2025-amfest-week.mdx","/Amfest/july-20-2025-amfest-week","The July 20, 2025 AmFest Week","Why the week of July 20, 2025 is treated as the anchor date of the case, including an alleged military-intelligence meeting.","July 20, 2025 is exactly two months before September 10, and researchers allege a military/intelligence meeting that date — the same week that carries the first Timpanogos emergency-surgeon search spikes.","5","5"
"Amfest_2024_Tucker_Epstein","Amfest","Amfest/amfest-2024-tucker-epstein.mdx","/Amfest/amfest-2024-tucker-epstein","AmFest 2024: Tucker on Epstein","AmericaFest 2024, where Tucker Carlson closed the first night reportedly discussing Epstein and foreign intelligence blackmail.","Nine months before Kirk died, his own main stage hosted Carlson reportedly describing Jeffrey Epstein's alleged role in a blackmail operation possibly run for foreign intelligence services.","6","6"
"Amfest_SAS_Tampa_Debate","Amfest","Amfest/sas-2025-tampa.mdx","/Amfest/sas-2025-tampa","July 2025 Summit: Smith vs Hammer","TPUSA's July 2025 Tampa Student Action Summit, where a staged debate covered Israel, Epstein, and Mossad.","Kirk personally approved a July 13, 2025 main-stage debate on the United States, Israel, Epstein and Mossad; a podcast titled 'Inside the Turning Point USA Fallout' dropped three days later.","7","5"
"Amfest_Tent_Replica","Amfest","Amfest/murder-tent-replica.mdx","/Amfest/murder-tent-replica","The ""Prove Me Wrong"" Tent Replica","TPUSA reportedly rebuilt a replica of the debate tent from the UVU shooting at AmericaFest 2025.","Attendees reportedly lined up for selfies at a re-staged replica of the tent Kirk was killed under; critics called it trauma reenactment and jokes noted the replica was 'missing the camera.'","8","5"
"Amfest_August_25_Flyer","Amfest","Amfest/august-25-flyer.mdx","/Amfest/august-25-flyer","The August 25, 2025 AmFest Flyer","The December AmericaFest promotional flyer released sixteen days before Kirk was killed, and how its layout is read.","Released sixteen days before his death, the flyer placed Carlson prominently beside Kirk, rotated to face him — read as Kirk publicly refusing the alleged demand to drop Carlson.","9","5"
"Amfest_MTG_AIPAC_Invite","Amfest","Amfest/mtg-aipac-amfest.mdx","/Amfest/mtg-aipac-amfest","MTG, AIPAC, and the AmFest Invite Claim","Circulating claims that Kirk invited Marjorie Taylor Greene to debate AIPAC at AmFest shortly before his death.","Viral posts claim Kirk invited Greene to AmFest on AIPAC after she demanded AIPAC register under FARA — then allege a post-death AIPAC meeting about screening 'isolationist' Republicans.","10","5"
"Amfest_Murder_Motive_X","Amfest","Amfest/murder-motive-amfest-x.mdx","/Amfest/murder-motive-amfest-x","Murder Motive and AmFest on X","Archive of X discourse tying Kirk's murder to AmFest lineup fights, AIPAC, and donor pressure, with attribution.","Catalogs the competing motive theories circulating on X, including the claim that Kirk planned to convert TPUSA from pro-Israel to an 'anti-Zionist America Only' organization before he was killed.","11","5"
"Amfest_Year_Timeline","Amfest","Amfest/amfest-year-timeline.mdx","/Amfest/amfest-year-timeline","Year-by-Year AmFest Timeline","Chronology of every AmericaFest and TPUSA summit the investigation touches, from 2023 through the 2026 succession disputes.","Buried in the 2024 entries: Google Trends screenshots reportedly show a one-week search spike in December 2024 for Kathryn Nester — who would later become Tyler Robinson's court-appointed defense attorney.","12","5"
"Amfest_Candace_Block_Pressure","Amfest","Amfest/candace-amfest-block-pressure.mdx","/Amfest/candace-amfest-block-pressure","Candace Owens: AmFest Block Pressure","Claims that pro-Israel donors and influencers wanted Candace Owens kept off TPUSA's flagship stage.","Grades each claim: the September 9 invite text is a claimed private message, while the absence of any formal AmFest 2025 invitation to Owens after Kirk's death is itself treated as a data point.","13","5"
"Amfest_Bannon_Israel_First","Amfest","Amfest/bannon-amfest-israel-first.mdx","/Amfest/bannon-amfest-israel-first","Bannon at AmFest: Israel First Contention","Steve Bannon's AmFest remarks naming 'Greater Israel' and 'Israel First' as the movement's central fight.","Bannon reportedly said on the AmFest stage that Kirk worked with people around the Vice President to head off a land war or decapitation path on Iran, described in his telling as Netanyahu's plan.","14","5"
"Amfest_Shapiro_Names_Names","Amfest","Amfest/shapiro-amfest-2025.mdx","/Amfest/shapiro-amfest-2025","Shapiro Names Carlson and Kelly","Ben Shapiro's AmericaFest 2025 remarks attacking Carlson and Kelly for not denouncing Candace Owens's theories.","On the first AmFest without Kirk, Shapiro reportedly called silence about Owens's theories 'cowardice' — a day after Kirk had reportedly criticized Israel to Shapiro's face on his own show.","15","5"
"Amfest_Tucker_AIPAC_Speech","Amfest","Amfest/tucker-aipac-speech.mdx","/Amfest/tucker-aipac-speech","Tucker's AIPAC Remarks on Stage","Carlson's AmericaFest 2025 remarks calling AIPAC money America-last and rejecting the antisemitism label for AIPAC criticism.","Carlson used Kirk's own stage to say taking AIPAC money is America-last and that Kirk had been falsely branded antisemitic for the exact criticism Carlson was repeating.","16","5"
"Amfest_Megyn_Kelly","Amfest","Amfest/megyn-kelly-amfest.mdx","/Amfest/megyn-kelly-amfest","Megyn Kelly, AmFest, and Donor Pressure","Megyn Kelly's role across the AmFest record — the GO MAX capture, Kirk's donor-pressure interview, and Shapiro's attack.","On August 6, 2025, days after the alleged Hamptons confrontation, Kirk went on Kelly's show and publicly lashed out about donors pressuring him and about texts calling him an antisemite.","17","5"
"Amfest_Dave_Smith_Pressure","Amfest","Amfest/dave-smith-booking-pressure.mdx","/Amfest/dave-smith-booking-pressure","Dave Smith: Stage Booking and Donor Ire","Dave Smith's July 2025 Israel debate against Josh Hammer and the donor anger it reportedly produced.","Recap accounts claim both live and online audiences favored Smith and that donors were irate with Kirk for it; Hammer reportedly appeared at an Ackman Hamptons weekend soon after.","18","5"
"Amfest_X_Speaker_Pressure","Amfest","Amfest/x-speaker-pressure-discourse.mdx","/Amfest/x-speaker-pressure-discourse","X Discourse: Pro-Israel Speaker Pressure","Raw archive of X posts about donor and influencer pressure over who was allowed on the AmFest stage.","Preserves the widely recycled claim that Kirk meant to pair Candace with Tucker at AmFest to make TPUSA 'anti-Zionist America Only' — plus the later 'Erika has now replaced Tucker with Ben Shapiro' variant.","19","5"
"Amfest_AI_Voice_Memorial","Amfest","Amfest/ai-voice-and-memorial-tech.mdx","/Amfest/ai-voice-and-memorial-tech","AI Voice and Memorial Tech","How TPUSA AI voice cloning of Kirk and memorial-scale phone tracking changed the authentication standard for audio evidence.","TPUSA-adjacent programming reportedly used AI voice cloning to produce 'Charlie from beyond the grave' content — meaning any leaked Kirk audio now needs cryptographic provenance, not a vibe check.","20","5"
"Amfest_Who_Runs_Amfest","Amfest","Amfest/who-runs-amfest.mdx","/Amfest/who-runs-amfest","Who Actually Runs AmFest","Operational control of AmericaFest — TPUSA events leadership and the outside live-production vendor.","Booking politics get the attention, but a senior TPUSA events executive and outside vendor Mosaic Pro Events control load-in, AV, camera angles and security interfaces — the functions that decide what gets recorded.","21","5"
"Amfest_Bannon_At_War","Amfest","Amfest/bannon-we-are-at-war.mdx","/Amfest/bannon-we-are-at-war","Bannon: We Are At War","Steve Bannon's December 19, 2025 AmericaFest remarks framing Kirk's death in war and martyr language.","Bannon reportedly told the first AmFest without Kirk 'We are at war' and ranked Kirk among the greatest Americans since the Revolution — war framing that can crowd out forensic investigation.","22","5"
"Amfest_2025_December","Amfest","Amfest/amfest-2025-december.mdx","/Amfest/amfest-2025-december","AmericaFest December 2025","The first AmericaFest held without Charlie Kirk, in Phoenix, and the main-stage fights that defined it.","The conference Kirk programmed sixteen days before his death ran anyway with roughly 30,000-plus attendees, broadcasting AIPAC criticism, war rhetoric and purity policing from one stage.","23","5"
"Amfest_Open_Questions","Amfest","Amfest/open-questions-checklist.mdx","/Amfest/open-questions-checklist","Open Questions and Checklist","Documentary work order listing the contracts, transcripts and extractions that would settle the AmFest claims.","Names the exact documents nobody has produced: any written veto or rescind request for Carlson, the flyer's design revision history, and a device-level export rather than screenshots of the publicized texts.","24","5"
"Amfest_Speakers_Index","Amfest","Amfest/speakers-index.mdx","/Amfest/speakers-index","AmFest Speaker Index by Year","Year-by-year list of who spoke at AmericaFest and TPUSA summits, sourced to published lineups.","Documents from TPUSA's own YouTube playlists that Carlson closed AmFest 2024's first night and Bannon closed the event with a 'Victory or Death!' call to action.","25","5"
"Amfest_Booking_As_Policy","Amfest","Amfest/booking-as-policy.mdx","/Amfest/booking-as-policy","Booking a Speaker as Policy","The method behind treating conference invitations as falsifiable public policy signals rather than crime evidence.","Argues bookings are a published, falsifiable record — so a sustained post-death inversion of Kirk's last known speaker preferences would be a measurable signal, not a vibe.","26","5"
"Amfest_Debra_Carlson_Search","Amfest","Amfest/debra-carlson-amfest.mdx","/Amfest/debra-carlson-amfest","Debra Carlson Name Search (AmFest)","A negative research result: no public material found linking a Debra or Deborah Carlson to the AmFest record.","A rare published negative: a dedicated 2026 search across X, the master file and the site found zero hits, recorded so nobody later invents a role for an unmatched name.","27","5"
"Amfest_What_Is_Americafest","Amfest","Amfest/what-is-americafest.mdx","/Amfest/what-is-americafest","What AmericaFest Actually Is","Background on AmericaFest — TPUSA's multi-day December Phoenix conference, its scale, format and function.","Explains why a conference schedule lands in a homicide file: AmFest is a recruiting funnel, content studio and donor floor, with separate VIP areas and continuous main-stage clip production.","28","5"
"Amfest_Overview","Amfest","Amfest/overview.mdx","/Amfest/overview","AmFest (AmericaFest)","Index page for the AmFest section, linking every speaker-fight, timeline and donor-pressure page.","Frames AmericaFest as the single stage recurring most often in the whole investigation, and routes to the September 9 Candace text and the August 25 flyer.","29","5"
"AnalysisDoc_Overview","analysis_documentation","analysis_documentation/overview.mdx","/analysis_documentation/overview","Analysis Documentation","Hub page for evidence synthesis and research findings, with forensic bullet-engraving photos and links to proposed disclosure laws.","Links to forensic lab photos of engraved rifle cartridges and notes that the full FBI Form 302 reports, the complete autopsy, and UVU cell-tower dumps remain unreleased.","1","5"
"Before_Campus_Warnings","Before","Before/Free-Speech-Campus-Issues.mdx","/Before/Free-Speech-Campus-Issues","Free Speech and Campus Event Context","Covers UVU pre-event security records, GRAMA-released September 9 communications, staffing levels, and the campus alert failures.","Two unidentified men reportedly walked into a UVU office at 10:35 PM on Sept 9 asking to tell police about ""a plan""; the first campus alert falsely said ""suspect in custody"" and names are redacted.","1","5"
"Before_Death_Warning_Texts","Before","Before/Political_Pressure_And_Meetings_2025.mdx","/Before/Political_Pressure_And_Meetings_2025","2025 Political Pressure and Key Meetings Before UVU (Claims)","Chronology of 2025 donor pressure, White House and Hamptons meetings, and reported private texts before the UVU event.","Charlie reportedly texted Dan Flood the night of Sept 9 that he would be ""executed tomorrow,"" and ~48 hours earlier wrote donor pressure was forcing him to leave the pro-Israel cause.","2","5"
"Before_Recon_Searches","Before","Before/PreEvent_Searches_And_Recon.mdx","/Before/PreEvent_Searches_And_Recon","Reported Pre-Event Searches and Reconnaissance (Claims)","Catalogs Google Trends and OSINT claims of search spikes for UVU layouts, surgeons, attorneys, and people in Kirk's orbit.","A reported July 2025 spike in searches for six named Timpanogos surgeons, plus December 2024 interest in defense attorney Kathryn Nester — months before any shooting or arrest.","3","5"
"Before_Aircraft_Escalation","Before","Before/Heightened-Political-Tensions.mdx","/Before/Heightened-Political-Tensions","Heightened Political Tensions Before UVU","Maps July-September 2025 escalation: donor friction, warning statements, aircraft movements, and TPUSA governance and insurance claims.","Egyptian aircraft SU-BTT reportedly departed Utah at 7:08 MT the morning of Sept 10, and a GGLF 2023 LLC policy on Kirk allegedly carried an estimated $20M-$50M payout.","4","5"
"Before_Diplomatic_Travel","Before","Before/State-Department-Response.mdx","/Before/State-Department-Response","State Department and Diplomatic Response (Claims)","Examines State Department condemnation, visa revocations, and pre-event Egyptian diplomatic flights into Provo with DOD-liaison narratives.","Egyptian jet SU-BTT reportedly made Provo stops September 4-10 under DOD-liaison contractor narratives, while State revoked visas of foreigners who celebrated the death.","5","5"
"Before_July31_Frame","Before","Before/Woke-Right-Defamation.mdx","/Before/Woke-Right-Defamation","Woke-Right Defamation Frame (July 31 Context)","Explains the ""woke-right"" label, the July 31 White House session framing, and the Hamptons attendee roster claims.","An off-record July 31 White House session was reportedly organized around ""woke-right defamation"" of Israel — with TPUSA, Kirk's own organization, notably absent from the room.","6","5"
"Before_Neutralize_Rhetoric","Before","Before/Political-Violence-Debate.mdx","/Before/Political-Violence-Debate","Political Violence Debates (2024-2025 Context)","Surveys the 2024-2025 political violence backdrop, competing post-shooting narratives, and hostile rhetoric circulating before the UVU event.","Commentary compilations report a public call for Tucker Carlson to be ""neutralized,"" and rhetoric about applying pager-operation ""energy"" against Americans, weeks before September 10.","7","5"
"Before_Antisemitism_Split","Before","Before/MAGA-Antisemitism-Debate.mdx","/Before/MAGA-Antisemitism-Debate","MAGA Movement and Antisemitism Debate (2025)","Lays out the competing frames in the 2025 MAGA antisemitism argument and Kirk's reported position going into the Hamptons meetings.","Kirk's reported refusal to deplatform critical voices put him on the wrong side of the donor-aligned frame just weeks before the August 4-6 Hamptons ""intervention.""","8","5"
"Before_Overview_Timeline","Before","Before/overview.mdx","/Before/overview","Before Events","Section overview summarizing the August 4 to September 10 pressure, reconnaissance, and aircraft threads before the UVU event.","Ties the Sept 9 all-caps text ""THEY ARE GOING TO KILL ME"" to the same window as May-July Google Trends spikes for UVU rooftops and parking.","9","5"
"Before_Index_Hub","Before","Before/Before_Investigation_Index.mdx","/Before/Before_Investigation_Index","Before Investigation Index","Routing hub mapping pre-September 10 research questions to the Level 3 pages covering meetings, recon, aircraft, and campus warnings.","A question-routing table treats donor meetings, Google Trends recon, and pre-event aircraft as parallel open investigative lanes rather than settled background.","10","5"
"Cameras_Canon_XA55_Audio","cameras","cameras/Canon_XA55_Broadcast.mdx","/cameras/Canon_XA55_Broadcast","Canon XA55 Broadcast Camera","Uncompressed four-channel broadcast audio recorded 46 meters from the tent and the acoustic events analysts say it separates.","Analysts say the uncompressed track separates three low-frequency events, with the loudest at +321 ms originating at the stage itself, plus 733 supersonic N-wave signatures versus 123 on the best phone.","1","6"
"Cameras_Tyler_Placeholder","cameras","cameras/Tyler_Placeholder.mdx","/cameras/Tyler_Placeholder","Tyler as a Placeholder Figure","The contested argument that the figure on September 10 cameras was identified by caption and inference rather than any facial match.","The government's own affidavit notes the accused surrendered not wearing clothing consistent with the surveillance figure, and commentators reportedly contrast a morning waif-like figure with linebacker-shouldered enhanced stairwell stills.","2","5"
"Cameras_Eyewitness_Mobile_Video","cameras","cameras/Eyewitness_Mobile_Video.mdx","/cameras/Eyewitness_Mobile_Video","Eyewitness & Mobile Video","Crowd phone footage, the 4K close-up witnesses say federal agents asked be deleted, and multi-angle shirt analysis.","Witness Ryne Simmons reportedly gave the FBI a 4K 60fps close-up and says federal investigators called repeatedly to confirm he deleted it; Jon Bray argues the shirt motion is incompatible with a .30-06 impact.","3","6"
"Cameras_UVU_Surveillance","cameras","cameras/UVU_Surveillance.mdx","/cameras/UVU_Surveillance","UVU Campus Surveillance","The institutional campus CCTV behind the probable-cause affidavit, its rooftop stills, and the disputes over what it does not show.","Testimony reportedly conceded the rooftop figure lacks identifiable facial features; one account alleges stairwell camera labels flip between ""level 2 NE"" and ""level 1 NE"" over the same parked white car.","4","5"
"Cameras_Tyler_On_Cameras","cameras","cameras/Tyler_On_Cameras.mdx","/cameras/Tyler_On_Cameras","Tyler on Surveillance Cameras","Master table of every camera sighting the released timeline attributes to the accused across September 10 and 11.","The whole chain hinges on an unrecorded outfit change, and high-engagement posts ask how one person is shown running through the UVU courtyard and on the Losee rooftop at the same 12:23 p.m. second.","5","5"
"Cameras_Merchant_Travel_CCTV","cameras","cameras/Merchant_And_Travel_CCTV.mdx","/cameras/Merchant_And_Travel_CCTV","Merchant & Travel CCTV","Dairy Queen, Cedar City Maverik, and sheriff lobby cameras that test the afternoon and evening movements.","Commentary alleges the Washington County Sheriff lobby CCTV of the surrender is gone and no intake bodycam exists — a ""double deletion"" that would otherwise test the disputed 7:57 p.m. Discord message.","6","5"
"Cameras_Overview_Hub","cameras","cameras/overview.mdx","/cameras/overview","Surveillance Cameras","Hub page summarizing every camera thread, plus the witness account of being told to erase his footage.","A witness says an FBI contact advised him to erase his video because it would only give him PTSD, then called back to confirm — so he published it and copied it across many drives instead.","7","5"
"Cameras_WYZE_880_South","cameras","cameras/WYZE.mdx","/cameras/WYZE","WYZE Cameras","Two WYZE neighborhood camera sightings on W 880 S — driving at 8:23 a.m. and walking at 9:57 a.m.","These two timestamps are load-bearing for the ""one continuous person"" morning chain, and Baron Coleman's shadow analysis reportedly argues the doorbell-timeline clock does not match the sun angles.","8","5"
"Cameras_Investigation_Index","cameras","cameras/Investigation_Index.mdx","/cameras/Investigation_Index","Cameras Investigation Index","Routing index mapping every lens that may have recorded September 10 to its dedicated page.","Its priority watch list flags crime-scene camera handling — alleged SD card removal and a flash-drive-versus-original chain-of-custody question — as an open thread alongside withheld TPUSA angles.","9","5"
"CampusUni_UVU_Crime_Scene","campus_university","campus_university/overview.mdx","/campus_university/overview","Campus & University","Hub page on UVU as both campus and crime scene: CCTV, rooftop access, event security, and evidence handling.","At the July 2026 preliminary hearing, Agent David Hull was reportedly cross-examined on the rooftop search and the absence of a shell casing; commentators also note TPUSA media drones flew while security drones were denied.","1","5"
"CauseDeath_Overview","Cause_of_Death","Cause_of_Death/overview.mdx","/Cause_of_Death/overview","Cause of Death","States what citizen investigators concluded killed Charlie Kirk and why the .30-06 rifle account is rejected.","The state's own ATF exam reportedly could not match the recovered fragment to the recovered rifle; witnesses near the stage described a chest event, and the autopsy remains unreleased.","1","5"
"Censorship_FBI_Delete_Video","Censorship","Censorship/Ryne_Simmons_FBI_Video.mdx","/Censorship/Ryne_Simmons_FBI_Video","Ryne Simmons — FBI Video Deletion","Witness who filmed the assassination in close-up says federal FBI contacts repeatedly told him to delete the footage.","Simmons reportedly captured 4K 60fps close-up video, sent it to the FBI, and says national-level agents called multiple times to ensure it was erased; he says he kept a copy.","1","5"
"Censorship_Witness_Footage_Pressure","Censorship","Censorship/Witness_Footage_Pressure.mdx","/Censorship/Witness_Footage_Pressure","Witness Footage Pressure","Attendee accounts of phone video vanishing or being edited, deletion requests, and an SD card reportedly removed before police secured the area.","An executive who reportedly removed an SD card had allegedly never attended another university event; attendees say clips were missing or altered by the time they got home.","2","5"
