page_key,parent_key,level,level2_parent,level2_section,page_type,url_path,file_path,title,sidebar_label,directory,extension,has_frontmatter,line_count,description
House_Comms_Antenna_Mast,House_Staging_Site,4,After,After,topic,/After/house/comms-antenna-mast,site/docs/After/house/comms-antenna-mast.mdx,The RETCON13 5G Comms Mast at the UVU Construction Site,The 5G Comms Mast,After/house,mdx,yes,216,"A citizen-investigation claim that the telescoping antenna mast standing at the UVU construction site on September 10, 2025 matches the RETCON13 5G communications mast sold for police and military special-operations vehicles."
House_Rental_Listings,House_Staging_Site,4,After,After,topic,/After/house/rental-listings,site/docs/After/house/rental-listings.mdx,691 W 925 S — Rental and Listing History,Rental & Listing History,After/house,mdx,yes,192,"Whether the house at 691 W 925 S, Orem has appeared as a rental or for-sale listing — the most concrete way to test the claim that attackers rented it to stage the assassination."
House_Staging_Allegation,House,4,After,After,topic,/After/house/staging-allegation,site/docs/After/house/staging-allegation.mdx,The Staging Allegation — 691 W 925 S,The Staging Allegation,After/house,mdx,yes,199,"The exact claim that attackers planned or staged the Charlie Kirk assassination from 691 W 925 S, Orem — stated verbatim, marked unverified, with the questions that would confirm or kill it."
House_Records_Requests,House,4,After,After,topic,/After/house/records-requests,site/docs/After/house/records-requests.mdx,691 W 925 S — Records You Can Request (GRAMA),Records Requests (GRAMA),After/house,mdx,yes,231,"Ready-to-file Utah GRAMA public-records requests to test the 691 W 925 S staging lead — police canvass and dispatch logs, UVU property use records, city files, and the deed chain. Templates and where to send them."
Before_Investigation_Index,Before,3,Before,Before,index,/Before/Before_Investigation_Index,site/docs/Before/Before_Investigation_Index.mdx,Before Investigation Index,Before Investigation Index,Before,mdx,yes,238,"Memo hub for pre-September 10 context — donor meetings, recon searches, aircraft, campus warnings, and escalation timeline before Charlie Kirk's UVU event."
Free_Speech_Campus_Issues,Before,3,Before,Before,topic,/Before/Free-Speech-Campus-Issues,site/docs/Before/Free-Speech-Campus-Issues.mdx,Free Speech and Campus Event Context,Free Speech Campus Issues,Before,mdx,yes,348,"How campus free-speech debates and event-security politics framed Charlie Kirk's UVU appearance before September 10, 2025."
Heightened_Political_Tensions,Before,3,Before,Before,topic,/Before/Heightened-Political-Tensions,site/docs/Before/Heightened-Political-Tensions.mdx,Heightened Political Tensions Before UVU,Heightened Political Tensions,Before,mdx,yes,265,"Escalating donor friction, intervention meetings, and public rhetoric in the months before Charlie Kirk's September 10, 2025 appearance."
MAGA_Antisemitism_Debate,Before,3,Before,Before,topic,/Before/MAGA-Antisemitism-Debate,site/docs/Before/MAGA-Antisemitism-Debate.mdx,MAGA Movement and Antisemitism Debate (2025),MAGA Antisemitism Debate,Before,mdx,yes,251,How July–September 2025 debates over antisemitism within MAGA framed White House strategy sessions and Charlie Kirk's donor conflicts.
Political_Violence_Debate,Before,3,Before,Before,topic,/Before/Political-Violence-Debate,site/docs/Before/Political-Violence-Debate.mdx,Political Violence Debates (2024–2025 Context),Political Violence Debate,Before,mdx,yes,318,How national debates on political violence contextualize the Charlie Kirk assassination — without proving any specific perpetrator theory.
Before_And_Meetings_2025,Before,3,Before,Before,topic,/Before/Political_Pressure_And_Meetings_2025,site/docs/Before/Political_Pressure_And_Meetings_2025.mdx,2025 Political Pressure and Key Meetings Before UVU (Claims),2025 Political Pressure and Key Meetings Before UVU (Claims),Before,mdx,yes,374,"This Level3 page expands on political, donor, and meeting‑related context in 2025 that commentators and citizen‑researchers highlight as important “before”…"
Before_Searches_And_Recon,Before,3,Before,Before,topic,/Before/PreEvent_Searches_And_Recon,site/docs/Before/PreEvent_Searches_And_Recon.mdx,Reported Pre‑Event Searches and Reconnaissance (Claims),Reported Pre‑Event Searches and Reconnaissance (Claims),Before,mdx,yes,335,"This Level3 page expands on claims about online searches, reconnaissance, and information‑gathering that allegedly occurred in the months before the UVU…"
State_Department_Response,Before,3,Before,Before,topic,/Before/State-Department-Response,site/docs/Before/State-Department-Response.mdx,State Department and Diplomatic Response (Claims),State Department Response,Before,mdx,yes,302,"Public commentary on State Department statements, visa policy, and diplomatic questions after the Kirk assassination — transparency issues, not findings of wrongdoing."
Woke_Right_Defamation,Before,3,Before,Before,topic,/Before/Woke-Right-Defamation,site/docs/Before/Woke-Right-Defamation.mdx,Woke-Right Defamation Frame (July 31 Context),Woke-Right Defamation,Before,mdx,yes,353,"The woke-right defamation-of-Israel framing cited in July 31, 2025 White House meeting reports and its role in pre-UVU donor-alignment debates."
Before,Home,2,,Before,overview,/Before/overview,site/docs/Before/overview.mdx,Before Events,Before Events,Before,mdx,yes,275,"Pre-September 10 context for Charlie Kirk's UVU event — donor meetings, death-warning texts, recon searches, aircraft, and campus GRAMA warnings."
Meeting,Home,2,,meeting,overview,/meeting/overview,site/docs/meeting/overview.mdx,The Meeting,The Meeting,meeting,mdx,yes,148,"A likely meeting at Fort Huachuca, Arizona on September 9, 2025 — possibly September 8 — the day before Charlie Kirk was killed. This section names no attendees and instead points readers to the open-source searches."
Censorship_Index,Censorship,3,Censorship,Censorship,index,/Censorship/Censorship_Investigation_Index,site/docs/Censorship/Censorship_Investigation_Index.mdx,Censorship Investigation Index,Censorship Investigation Index,Censorship,mdx,yes,254,"Working memo for Charlie Kirk censorship threads — X bans, FBI video deletion, gag orders, TPUSA legal threats, and platform scrubbing."
Censorship_Court_Gag,Censorship,3,Censorship,Censorship,topic,/Censorship/Court_Gag_Orders,site/docs/Censorship/Court_Gag_Orders.mdx,Court Gag Orders,Court Gag Orders,Censorship,mdx,yes,203,Reported broad gag orders in State v. Tyler Robinson — Judge Tony Graf Dec 16 2025 own-motion order and witness silencing claims.
Censorship_Google_Trends,Censorship,3,Censorship,Censorship,topic,/Censorship/Google_Search_Trends_Scrubbing,site/docs/Censorship/Google_Search_Trends_Scrubbing.mdx,Google Search & Trends Scrubbing,Google Search & Trends,Censorship,mdx,yes,203,"Claims of post-event Google Trends deletion, UVU search scrubbing, and low visibility for whoassassinatedcharliekirk.com."
Censorship_Platform_YT,Censorship,3,Censorship,Censorship,topic,/Censorship/Platform_YouTube_Meta,site/docs/Censorship/Platform_YouTube_Meta.mdx,Platform — YouTube & Meta,YouTube & Meta,Censorship,mdx,yes,275,"Reported age restrictions, demonetization, and strikes on Charlie Kirk investigation videos — plus Meta violence-policy removals."
Censorship_Ryne_FBI,Censorship,3,Censorship,Censorship,topic,/Censorship/Ryne_Simmons_FBI_Video,site/docs/Censorship/Ryne_Simmons_FBI_Video.mdx,Ryne Simmons — FBI Video Deletion,Ryne Simmons FBI Video,Censorship,mdx,yes,252,Witness Ryne Simmons reportedly sent 4K 60fps close-up footage to the FBI and was instructed to delete it — per @ninoboxer amplification.
Censorship_TPUSA_Legal,Censorship,3,Censorship,Censorship,topic,/Censorship/TPUSA_Legal_Threats,site/docs/Censorship/TPUSA_Legal_Threats.mdx,TPUSA Legal Threats,TPUSA Legal Threats,Censorship,mdx,yes,212,"Reported cease-and-desist and legal pressure from TPUSA against citizen investigators — drone footage, Project Constitution, and insider chill."
Censorship_Witness_Footage,Censorship,3,Censorship,Censorship,topic,/Censorship/Witness_Footage_Pressure,site/docs/Censorship/Witness_Footage_Pressure.mdx,Witness Footage Pressure,Witness Footage Pressure,Censorship,mdx,yes,211,"Reported pressure on attendees and witnesses to delete or withhold phone video — Skyler Baird, missing clips, FBI release warnings, and SD card removal."
Censorship_X_Candace,Censorship,3,Censorship,Censorship,topic,/Censorship/X_Candace_Engagement_Bans,site/docs/Censorship/X_Candace_Engagement_Bans.mdx,X — Candace Owens Engagement Bans,X Candace Engagement Bans,Censorship,mdx,yes,219,Reported mass suspensions and shadowbans when users engage with @RealCandaceO posts about the Charlie Kirk assassination — attributed to @ProjectConstitu.
Censorship_X_Deboost,Censorship,3,Censorship,Censorship,topic,/Censorship/X_Deboosting_Investigators,site/docs/Censorship/X_Deboosting_Investigators.mdx,X — Deboosting Investigators,X Deboosting Investigators,Censorship,mdx,yes,203,"Reported algorithmic reach suppression on X for citizen investigators covering Charlie Kirk — ballistics, FBI, and foreign-nexus threads."
Censorship_X_Poll_Blocked,Censorship,3,Censorship,Censorship,topic,/Censorship/X_Poll_Blocked_Kirk_Narrative,site/docs/Censorship/X_Poll_Blocked_Kirk_Narrative.mdx,X — Poll About Kirk Narrative Reportedly Blocked,X Poll Blocked,Censorship,mdx,yes,255,Two X users report that a poll asking whether people still believe the initial Charlie Kirk .30-06 narrative would not post as a poll — it failed to send or posted as plain text.
Censorship_X_EU_DSA_Fine,Censorship,3,Censorship,Censorship,topic,/Censorship/X_EU_DSA_Fine,site/docs/Censorship/X_EU_DSA_Fine.mdx,X — EU €120M DSA Fine,X EU DSA Fine,Censorship,mdx,yes,268,"December 5, 2025: the European Commission issued its first Digital Services Act non-compliance fine — €120 million against X — over blue-check design, the ad repository, and researcher data access."
Censorship,Home,2,,Censorship,overview,/Censorship/overview,site/docs/Censorship/overview.mdx,Censorship,Censorship,Censorship,mdx,yes,336,"Censorship and speech suppression in the Charlie Kirk investigation — X bans, FBI video deletion, gag orders, TPUSA legal threats, and platform scrubbing."
Charlie_Candace_Friendship,Charlie,3,Charlie,Charlie,topic,/Charlie/Candace_Owens_Friendship,site/docs/Charlie/Candace_Owens_Friendship.mdx,Candace Owens Friendship,Candace Owens Friendship,Charlie,mdx,yes,235,"Private texts between Charlie Kirk and Candace Owens — revolution quote, AmFest invitation on September 9, and related commentary claims."
Charlie_Groyper_Wars,Charlie,3,Charlie,Charlie,topic,/Charlie/Groyper_Wars,site/docs/Charlie/Groyper_Wars.mdx,Groyper Wars,Groyper Wars,Charlie,mdx,yes,866,"Detailed 2019–2020 Groyper Wars chronology — every major TPUSA/Culture War stop, questions asked, countermeasures, Twitter/livestream ecology, and 2020 America First Students / AFPAC aftermath."
Charlie_Future_Governor,Charlie,3,Charlie,Charlie,topic,/Charlie/Future_Governor,site/docs/Charlie/Future_Governor.mdx,Future Governor,Future Governor,Charlie,mdx,yes,373,"Claims and rumors that Charlie Kirk would run for or become governor of Arizona — Nov 2024 NBC Phoenix reporting, 2025 primary polls that floated him as a candidate, his May 2025 Biggs endorsement, and Twitter discourse."
Charlie_Future_President,Charlie,3,Charlie,Charlie,topic,/Charlie/Future_President,site/docs/Charlie/Future_President.mdx,Future President,Future President,Charlie,mdx,yes,397,"Public claims that Charlie Kirk had a serious path to the U.S. presidency — post-assassination 'future president' discourse, 2028 age eligibility, TPUSA power base, Arizona springboard, and Twitter sourcing."
Charlie_Leader_Churches,Charlie,3,Charlie,Charlie,topic,/Charlie/Leader_of_Churches,site/docs/Charlie/Leader_of_Churches.mdx,Leader of Churches,Leader of Churches,Charlie,mdx,yes,379,"Charlie Kirk and TPUSA Faith — Pastors Summits, Freedom Night, church network scale, and how pastors and ministry media described his leadership influence across U.S. churches."
Charlie_Investigation_Index,Charlie,3,Charlie,Charlie,index,/Charlie/Charlie_Investigation_Index,site/docs/Charlie/Charlie_Investigation_Index.mdx,Charlie Investigation Index,Charlie Investigation Index,Charlie,mdx,yes,243,"Working memo for the Charlie Kirk victim-and-motive angle — pre-event pressure, reported warnings, security posture, and cross-links across the investigation."
Charlie_Epstein_Files,Charlie,3,Charlie,Charlie,topic,/Charlie/Epstein_Files_Push,site/docs/Charlie/Epstein_Files_Push.mdx,Epstein Files Push,Epstein Files Push,Charlie,mdx,yes,268,"Claims that Charlie Kirk pressed for Epstein files release in mid-2025, drew a reported July 12 reprimand from Donald Trump, and refused to back off."
Charlie_Phone_Surveillance,Charlie,3,Charlie,Charlie,topic,/Charlie/Phone_Surveillance_Claims,site/docs/Charlie/Phone_Surveillance_Claims.mdx,Phone Surveillance Claims,Phone Surveillance Claims,Charlie,mdx,yes,242,"Allegations that Charlie Kirk's phone was surveilled, that a donor warned he would not make it to Christmas, and that a Hamptons intervention followed."
Charlie_Pre_Event_Timeline,Charlie,3,Charlie,Charlie,topic,/Charlie/Pre_Event_Timeline,site/docs/Charlie/Pre_Event_Timeline.mdx,Pre-Event Timeline,Pre-Event Timeline,Charlie,mdx,yes,249,"Charlie Kirk-focused chronology from July through September 9, 2025 — meetings, reported warnings, media appearances, and final texts (claims)."
Charlie_Quotes_Warnings,Charlie,3,Charlie,Charlie,topic,/Charlie/Reported_Quotes_and_Warnings,site/docs/Charlie/Reported_Quotes_and_Warnings.mdx,Reported Quotes and Warnings,Reported Quotes and Warnings,Charlie,mdx,yes,317,"Alleged fear-of-death statements attributed to Charlie Kirk before September 10, 2025 — sources, contradictions, and verification status."
Charlie,Home,2,,Charlie,overview,/Charlie/overview,site/docs/Charlie/overview.mdx,Charlie Kirk,Charlie Kirk,Charlie,mdx,yes,359,"Charlie Kirk as victim and motive anchor — pre-event pressure, reported warnings, Israel/donor friction, and day-of security context for the UVU assassination."
CoverUp_AES_Tennessee_Explosion,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/AES_Tennessee_Explosion,site/docs/CoverUp/AES_Tennessee_Explosion.mdx,AES Tennessee Explosives Factory Explosion (Claims),AES Tennessee Explosives Factory Explosion (Claims),CoverUp,mdx,yes,399,"An explosives plant in Humphreys County, Tennessee exploded on October 10, 2025, weeks after online investigators tied a Defense Department munitions contract there to the Charlie Kirk case. This page reviews those claims, the technical 'exploding mic' theory behind them, and the coincidence counterargument."
CoverUp_Archive_Today,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Archive_Is_Purge,site/docs/CoverUp/Archive_Is_Purge.mdx,Archive.today,Archive.today,CoverUp,mdx,yes,311,"On October 30, 2025 — twenty days after the AES explosives plant blast and fifty days after Charlie Kirk was killed — the FBI subpoenaed the registrar behind Archive.today, the one major web archive that is hard to delete from. The facts, the timing, and the ordinary explanations."
CoverUp_Censorship_Investigators,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Censorship_Investigators,site/docs/CoverUp/Censorship_Investigators.mdx,Censorship of Charlie Kirk Citizen Investigators (Claims),Censorship of Charlie Kirk Citizen Investigators (Claims),CoverUp,mdx,yes,476,"Independent researchers report that social-media platforms shadowban, throttle, demonetize, and remove their posts about the Charlie Kirk assassination; ordinary moderation explanations are also presented."
CoverUp_Dirt_Removed,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Dirt_Removed,site/docs/CoverUp/Dirt_Removed.mdx,10 in. of dirt removed,10 in. of dirt removed,CoverUp,mdx,yes,535,"An examination of the unverified claim that several inches of soil were removed from the Charlie Kirk assassination scene within roughly a day by an unidentified team, before contractor Dan Merrell arrived to install pavers under a reported Governor/FBI 'by Monday' deadline."
CoverUp_FBI_Asked_Delete_Video,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/FBI_Asked_Delete_Video,site/docs/CoverUp/FBI_Asked_Delete_Video.mdx,FBI Asked a Witness to Delete Their Video (Claims),FBI Asked a Witness to Delete Their Video (Claims),CoverUp,mdx,yes,567,"Witness Ryne Simmons says on X that he recorded close-up video of the Charlie Kirk shooting, sent it to the FBI, and was told to delete it 'to avoid PTSD' — with a follow-up call to confirm he had. The FBI has not publicly confirmed this account."
CoverUp_Google_Censorship,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Google_Censorship,site/docs/CoverUp/Google_Censorship.mdx,Google Search Censorship of This Website (Claims),Google Search Censorship of This Website (Claims),CoverUp,mdx,yes,524,"Some readers report that whoassassinatedcharliekirk.com appears hard to find on Google Search, and they suspect suppression; an algorithmic, non-deliberate explanation is also possible."
CoverUp_Investigation_Index,CoverUp,3,CoverUp,CoverUp,index,/CoverUp/Investigation_Index,site/docs/CoverUp/Investigation_Index.mdx,Cover-Up Investigation Index,Investigation Index,CoverUp,mdx,yes,336,"Roster index for every cover-up claim page — physical scene, kill-mechanism suppression, foreign-lead shutdown, digital evidence, custody timeline, and censorship."
CoverUp_Joe_Kent_Halt,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Joe_Kent_Halt,site/docs/CoverUp/Joe_Kent_Halt.mdx,FBI Halt of Joe Kent's Counterterrorism Leads (Claims),FBI Halt of Joe Kent's Counterterrorism Leads (Claims),CoverUp,mdx,yes,333,Reported claims that the FBI under Kash Patel directed Joe Kent's NCTC counterterrorism review to stop pursuing leads pointing to a possible foreign nexus in the Charlie Kirk killing.
CoverUp_Mic_Explosive,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Mic_Explosive,site/docs/CoverUp/Mic_Explosive.mdx,The Exploding Microphone Theory (Claims),The Exploding Microphone Theory (Claims),CoverUp,mdx,yes,417,"A contested social-media theory alleging an explosive device hidden in or near Charlie Kirk's microphone — not a rifle shot — caused his fatal wound, and that this possibility is being suppressed."
CoverUp_Narrative_Psyop,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Narrative_Psyop,site/docs/CoverUp/Narrative_Psyop.mdx,Online Narrative‑Control Operations (Claims),Online Narrative‑Control Operations (Claims),CoverUp,mdx,yes,543,"Reported allegations that coordinated accounts, bots, and trolls steered the online conversation about the Charlie Kirk assassination — presented as unproven claims with attribution."
CoverUp_Sheriff_Video_Withheld,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Sheriff_Video_Withheld,site/docs/CoverUp/Sheriff_Video_Withheld.mdx,Tyler Robinson Surrender Video Not Publicly Released (Claims),Tyler Robinson Surrender Video Not Publicly Released (Claims),CoverUp,mdx,yes,356,"KUTV 2News and online critics report that the Washington County, Utah Sheriff's Office returned 'no records' for video of Tyler Robinson's surrender and booking, footage critics say bears on the disputed custody timeline."
CoverUp_Utah_Autopsy_Law,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Utah_Autopsy_Law,site/docs/CoverUp/Utah_Autopsy_Law.mdx,Utah Law Banning Public Sharing of Autopsy Photos & Video (Claims),Utah Law Banning Public Sharing of Autopsy Photos & Video (Claims),CoverUp,mdx,yes,365,"Utah S.B. 82 (Autopsy Photo Amendments) took effect May 7, 2025 — about four months before September 10, 2025 — and made it a crime to publicly share non-public autopsy photographs and videos. Some commentators call the timing suspicious; supporters cite family privacy and a routine 2024-2025 legislative cycle."
CoverUp_Videos_Deleted_Remotely,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Videos_Deleted_Remotely,site/docs/CoverUp/Videos_Deleted_Remotely.mdx,Witness Videos Deleted Remotely From Phones (Claims),Witness Videos Deleted Remotely From Phones (Claims),CoverUp,mdx,yes,537,"Some attendees reportedly claim cell-phone video they recorded of the September 10, 2025 UVU shooting was deleted or altered on their phones before they got home, without anyone deleting it themselves — an unverified allegation."
CoverUp_WhiteHouse_Halt_IC,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/WhiteHouse_Halt_IC,site/docs/CoverUp/WhiteHouse_Halt_IC.mdx,White House Escalation Halts Intelligence Leads (Claims),White House Escalation Halts Intelligence Leads (Claims),CoverUp,mdx,yes,369,"A look at claims that intelligence follow-up on foreign leads in the Charlie Kirk case was reportedly blocked, escalated to a tense White House meeting, and ultimately stopped — based on NYT/Daily Mail reporting, podcast interviews, and public statements."
CoverUp_X_HolonCitizen_Censored,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/X_HolonCitizen_Censored,site/docs/CoverUp/X_HolonCitizen_Censored.mdx,X @HolonCitizen Appears Demonetized and Throttled (Claims),X @HolonCitizen Appears Demonetized and Throttled (Claims),CoverUp,mdx,yes,307,"The X (Twitter) account @HolonCitizen, which publishes Charlie Kirk investigation content, reportedly shows signs of demonetization and reduced reach. These are claims and indicators, not proof of deliberate suppression."
CoverUp_YouTube_HolonCitizen_Censored,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/YouTube_HolonCitizen_Censored,site/docs/CoverUp/YouTube_HolonCitizen_Censored.mdx,YouTube @HolonCitizen Appears Algorithmically Throttled (Claims),YouTube @HolonCitizen Appears Algorithmically Throttled (Claims),CoverUp,mdx,yes,528,"The YouTube channel @HolonCitizen, which publishes Charlie Kirk investigation content, reportedly receives almost no traffic from YouTube's recommendation or search algorithm; ordinary cold-start and niche-topic explanations are also possible."
CoverUp,Home,2,,CoverUp,overview,/CoverUp/overview,site/docs/CoverUp/overview.mdx,Cover Up (Possible),Cover Up (Possible),CoverUp,mdx,yes,425,"Cover-up claims and concerns: rapid site alteration, withheld records, eyewitness footage deletion, foreign-lead shutdown, gag orders, and narrative control — framed as hypotheses."
CoverUp_Airborne_ISR_Records,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Airborne_Surveillance_Records,site/docs/CoverUp/Airborne_Surveillance_Records.mdx,Airborne Surveillance Records Over UVU Withheld (Claims),Airborne Surveillance Records Over UVU Withheld (Claims),CoverUp,mdx,yes,237,"Reported claims that a U.S. Army ISR jet and unaccounted drone activity over UVU on September 10, 2025 mean airborne imagery of the scene may exist, yet crew, tasking, and FAA records have not been produced — presented as attributed, unproven allegations."
CoverUp_Blood_Libel_Branding,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Antisemitism_Branding,site/docs/CoverUp/Antisemitism_Branding.mdx,"""Blood Libel"" Branding Used to Kill Foreign Leads (Claims)","""Blood Libel"" Branding (Claims)",CoverUp,mdx,yes,311,"Reported claims that labeling foreign-nexus questions 'antisemitic,' 'blood libel,' or 'disinformation' functioned as rhetorical closure that deterred journalists and officials from demanding records in the Charlie Kirk case."
CoverUp_Autopsy_Sealed,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Autopsy_Sealed_Examiner,site/docs/CoverUp/Autopsy_Sealed_Examiner.mdx,Autopsy Sealed and the Performing Examiner Kept Out of View (Claims),Autopsy Sealed and Performing Examiner Hidden (Claims),CoverUp,mdx,yes,249,"Reported claims that the Utah autopsy report remains sealed, the pathologist who performed the examination has never been publicly named, and an outside medical examiner became the public face of the wound explanation — presented as unproven questions."
CoverUp_Bagley_Bodycam_Gap,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Bagley_Bodycam_Gap,site/docs/CoverUp/Bagley_Bodycam_Gap.mdx,Officer's Body Camera Died on the Roof (Claims),Officer's Body Camera Died on Roof (Claims),CoverUp,mdx,yes,289,"Reported claims that UVU Officer Chris Bagley's only body-camera recording ended just as he reached the Losee Center roof, capturing no footage of the alleged sniper's nest or the screwdriver later tied to DNA."
CoverUp_Ballistics_Sealed_CBLA,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Ballistics_Sealed_CBLA,site/docs/CoverUp/Ballistics_Sealed_CBLA.mdx,"Inconclusive Ballistics, Sealed Report, and a Banned Test Revived (Claims)","Inconclusive Ballistics, Sealed Report, and a Banned Test Revived (Claims)",CoverUp,mdx,yes,240,"Reported claims that the ATF ballistics report was inconclusive, sealed after the defense called it exculpatory, and that the FBI may revive a discredited bullet-lead test — framed by critics as goalpost-shifting to manufacture a match."
CoverUp_Black_Clad_Suspect,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/Black_Clad_Suspect_Dropped,site/docs/CoverUp/Black_Clad_Suspect_Dropped.mdx,Black-Clad Rooftop Suspect Dropped From the Narrative (Claims),Black-Clad Rooftop Suspect Dropped (Claims),CoverUp,mdx,yes,238,"Reported claims that an early all-black-clad suspect described in dispatch, by an eyewitness, and in rooftop footage was dropped from the narrative once federal agents took over the case."
CoverUp_CIA_Blocked,CoverUp,3,CoverUp,CoverUp,topic,/CoverUp/CIA_Blocked,site/docs/CoverUp/CIA_Blocked.mdx,CIA Reportedly Blocked From the Investigation (Claims),CIA Reportedly Blocked From the Investigation (Claims),CoverUp,mdx,yes,220,"Reported claims that the FBI physically blocked CIA personnel from advancing the Charlie Kirk investigation, and that the interference was relayed to the Oval Office with no corrective action taken."
