directory,description,file_path
Proof_Not_Tyler,"Evidence and argument that Tyler Robinson did not cause Charlie Kirk's death — ATF ballistics, wound and trajectory mismatch, acoustics, identity gaps, clothing conflicts, and timeline contradictions.",site/docs/Proof_Not_Tyler/
Roof,"The Losee Center roof, the alleged firing position — the run and military-style crawl, black clothing versus jeans, screwdriver and helicopter disputes, muzzle-flash claims, and who the roof figure actually was.",site/docs/Roof/
security_law_enforcement,"Legacy hub, now split — the private Security Team that guarded Charlie Kirk on one side and the government Law Enforcement agencies on the other. Kept as a pointer to both.",site/docs/security_law_enforcement/
Security_Team,"The private protective detail responsible for Charlie Kirk at UVU — the contracted firm, the individuals on the detail, and the reported failures in the protection plan that day.",site/docs/Security_Team/
social_media_analysis,"Analysis of online posts, platform behavior, and digital evidence — account activity, post timing and deletions, and what the social record shows around September 10, 2025.",site/docs/social_media_analysis/
Suspects,"Alternative suspects and persons of interest beyond Tyler Robinson — dispatch audio leads, the grey van laser report, construction-site witnesses, and competing shooter-location theories.",site/docs/Suspects/
Suspicious,"What citizen investigators flag as suspicious, sorted by actor: state and local law enforcement, the FBI, an alleged Israeli nexus, U.S. intelligence, and the defense. Attributed claims, not proven findings.",site/docs/Suspicious/
technology_surveillance,"Technical and surveillance evidence — drones, signals capability, data centers, device tracking, and the technology questions that bear on who could have done this and who could see it.",site/docs/technology_surveillance/
Tent,"The event tent and courtyard beneath Charlie Kirk — paving contractors, state earth-moving crews, how fast the site was altered afterward, and inside-the-tent device and shooter theories.",site/docs/Tent/
Theories,"High-level map of every major theory about what happened, what each claims, and what supports or undercuts it. The routing page that sends readers into the section arguing each one.",site/docs/Theories/
Timeline,"Chronological hub — 2024 signals, the 2025 pre-shot arc, the September 10 day-of sequence, the surrender chain, witness-account gaps, and the post-shot milestones.",site/docs/Timeline/
Topic-Analyses,"Long-form analytical essays cutting across the case — ballistics and surveillance claims, pre-assassination context, the September 10 event timeline, and the political aftermath.",site/docs/Topic-Analyses/
Topics3,Detailed analysis and documentation across assorted aspects of the investigation that were organized as a third topic tier.,site/docs/Topics3/
TPUSA,"Turning Point USA — its structure, funding, donor influence, and internal dynamics; the staff and AV crew present at UVU; and the questions raised by the organization's conduct after Charlie Kirk's death.",site/docs/TPUSA/
Tyler_Robinson,"The official suspect — identity mismatches, the surrender timeline, the Discord confession, ballistics, Miranda timing, his family, his trial, and the patsy theories. He is charged, not convicted.",site/docs/Tyler_Robinson/
Tyler_Robinson_Not_Assassin,"Why the reported case against Tyler Robinson fails — the .30-06 wound mismatch, an exploding-mic kill mechanism, a Discord confession that appears fabricated, and the cover-up indicators around his arrest.",site/docs/Tyler_Robinson_Not_Assassin/
US_Intelligence,"U.S. intelligence community threads — the NCTC foreign-ties review that was ordered stopped, NSA Bumblehive phone collection, CIA campus links, and Fort Huachuca timing the week of the assassination.",site/docs/US_Intelligence/
US_Intelligence_Assisted,"The reported reasons U.S. intelligence assisted in the death — the RODE microphone and its DoD contract, the AES factory explosion and deaths, narrative control, Fort Huachuca, a faked confession, and the cover-up.",site/docs/US_Intelligence_Assisted/
UVU,"Utah Valley University as the physical setting — the Orem campus, the courtyard layout, the Losee Center, event permitting and setup, campus security decisions, and the university's records and responses.",site/docs/UVU/
Videos,"Video evidence and analysis — the official production feed, eyewitness phone footage, broadcast aerials, frame-by-frame breakdowns, and the per-video Level 5 pages generated from the video pipeline.",site/docs/Videos/
Vote,How citizens respond through voting and civic engagement — which offices and votes actually bear on forcing disclosure in this case.,site/docs/Vote/
Witnesses,"Firsthand accounts from people at UVU on September 10, 2025 — on-camera and written testimony, what each witness described, and where their accounts conflict with the official narrative.",site/docs/Witnesses/
Your_Actions_Fix_It,"Concrete actions an individual can take — contacting representatives about the four laws, filing records requests, preserving evidence, spreading findings, and pressing for a real investigation.",site/docs/Your_Actions_Fix_It/
