overlap_id,date,foreign_tail,claimed_airport,city,state,subject,audit_verdict,existing_adsb_verdict,my_verdict,agrees,note_cites_date,note_uses_wrong_day,correction_action,sources,closest_km,closest_agl,ground_at_claimed,ground_airports_that_day,evidence,detail,existing_km,existing_note,overlap_page
OWENS-011,2023-04-06,SU-BTT,KILG,Wilmington,DE,Erika,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2023-04-06,,,"adsb-lol,airplanes-live",1.63,-105,no,,"trace passes 1.63 km from KILG at -105 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BTT adsb-lol: closest 1.63km to KILG at 15:33:43Z (alt -25, AGL -105), on-ground that day: none ; SU-BTT airplanes-live: closest 1.63km to KILG at 15:33:43Z (alt -25, AGL -105), on-ground that day: none",1.63,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2023-04-06, closest approach 1.63 km to KILG at 2023-04-06T15:33:43.920Z, airborne (both archives agree). Last fix KILG/ILG (Wilmington Airport, Wilmington DE) 1.63km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20230406_DE_wilmington_owens_011/overview.mdx
OWENS-012,2023-04-14,SU-BTT,KICT,Wichita,KS,Erika,accurate,ELSEWHERE,CONSISTENT_ARRIVAL_COVERAGE_ENDS,yes,2023-04-14,,"RETRACT ""REFUTED"". Change adsb_verified_verdict ELSEWHERE -> CONSISTENT_NOT_PROVEN and rewrite the note.","adsb-lol,airplanes-live",27.58,3717,no,,"airplanes.live trace runs Paris LFPG 09:01Z to a stabilised descent that ends 27.6 km from KICT at 5,050 ft baro (3,717 ft AGL), 18:18:17Z, still closing. Consistent with an arrival in the Wichita area; touchdown is not in the trace. The published note computed 7,411 km from the FIRST fix of the day and ignored the rest of the trace, while its own text says the last fix was 11 km from a Topeka airpark.","SU-BTT adsb-lol: closest 224.51km to KICT at 17:58:13Z (alt 30025, AGL 28692), on-ground that day: none ; SU-BTT airplanes-live: closest 27.58km to KICT at 18:18:17Z (alt 5050, AGL 3717), on-ground that day: none",7411,"REFUTED. SU-BTT was tracked on 2023-04-14 and was somewhere else: LFPG/CDG (Charles de Gaulle International Airport, Paris (Roissy-en-France, Val-d'Oise) FR) 5.39km to 90KS (Sunset Strip Airpark, Topeka KS) 10.98km. Closest approach to KICT was 7411 km at 2023-04-14T09:01:07.280Z.",site/docs/Planes/following/overlap/20230414_KS_wichita_owens_012/overview.mdx
OWENS-013,2023-04-20,SU-BTT,KILG,Wilmington,DE,Erika,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_ON_GROUND_AT_CLAIMED_FIELD,yes,2023-04-20,,,"adsb-lol,airplanes-live",0.56,,yes,KILG,on-ground position within 3 km of KILG on the claimed date,"SU-BTT adsb-lol: closest 0.56km to KILG at 17:04:07Z (alt ground, AGL None), on-ground that day: KILG ; SU-BTT airplanes-live: closest 0.56km to KILG at 17:04:07Z (alt ground, AGL None), on-ground that day: KILG",0.56,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2023-04-20, closest approach 0.56 km to KILG at 2023-04-20T17:04:07.390Z, ON THE GROUND (both archives agree). Last fix KILG/ILG (Wilmington Airport, Wilmington DE) 0.69km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20230420_DE_wilmington_owens_013/overview.mdx
OWENS-014,2023-05-03,SU-BND,KCPS,St. Louis,MO,Erika,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2023-05-03,,,"adsb-lol,airplanes-live",2.07,1137,no,,"trace passes 2.07 km from KCPS at 1137 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BND adsb-lol: closest 6.69km to KCPS at 15:29:24Z (alt 2550, AGL 2137), on-ground that day: none ; SU-BND airplanes-live: closest 2.07km to KCPS at 15:28:41Z (alt 1550, AGL 1137), on-ground that day: none",6.7,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BND tracked 2023-05-03, closest approach 6.7 km to KCPS at 2023-05-03T15:29:24.220Z, airborne (both archives agree). Last fix 7IS2 (Aero Estates Airport, Belleville IL) 6.65km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20230503_MO_st_louis_owens_014/overview.mdx
OWENS-015,2023-05-09,SU-BND,CYYR,St. Louis then Goose Bay,MO,Erika,accurate,ELSEWHERE,PARTIAL_ST_LOUIS_CONFIRMED_GOOSE_BAY_UNTESTED,yes,2023-05-09,,"RETRACT ""REFUTED"". The St Louis half of this row is CONFIRMED by primary data; the Goose Bay half is untested.","adsb-lol,airplanes-live",1062.56,40840,no,,"Same-day trace departs KCPS St Louis Downtown 20:02Z and ends over La Tuque, Quebec at FL410 22:10Z, 1,063 km short of Goose Bay and still north-eastbound; the next trace picks the aircraft up over Ireland at 04:18Z. A Goose Bay fuel stop fits the gap and is neither shown nor excluded.","SU-BND adsb-lol: closest 1343.57km to CYYR at 21:49:59Z (alt 41000, AGL 40840), on-ground that day: none ; SU-BND airplanes-live: closest 1062.56km to CYYR at 22:10:09Z (alt 41000, AGL 40840), on-ground that day: none",3057,"REFUTED. SU-BND was tracked on 2023-05-09 and was somewhere else: 7IS2 (Aero Estates Airport, Belleville IL) 1.78km to CAA2 (St. André-Avellin Aerodrome, St. Andre Avellin CA) 39.98km. Closest approach to CYYR was 3057 km at 2023-05-09T20:03:41.630Z.",site/docs/Planes/following/overlap/20230509_MO_st_louis_then_goose_bay_owens_015/overview.mdx
OWENS-016,2023-06-12,SU-BND,KPVU,Provo,UT,Erika,inaccurate,ELSEWHERE,NOT_HEARD,NO,2023-06-11,YES,"RETRACT ""REFUTED"" - the note rests on 2023-06-11, not on the claimed day, and the claim is physically compatible with it. Cairo-area local flying on 11 Jun 2023 ends 09:16Z, 11,330 km from Provo, with 38.7 h before the claimed day closes and 14.2 h of cruise needed. Change ELSEWHERE -> NOT TESTED.",,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"REFUTED. SU-BND was tracked on 2023-06-11 and was somewhere else: HE12 (Inshas Air Base, Inshas EG) 11.58km to HECP/CCE (Capital International Airport, New Cairo EG) 14.18km. No closest-approach figure was computed: the trace never came within measurable range of KPVU.",site/docs/Planes/following/overlap/20230612_UT_provo_owens_016/overview.mdx
OWENS-017,2023-07-25,SU-BTT,KLNK,Lincoln,NE,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NOT_HEARD,NO,,,,,,,,,no trace for this date; adjacent days were asked and empty. Not evidence of absence.,,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2023-07-25 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20230725_NE_lincoln_owens_017/overview.mdx
OWENS-018,2023-09-03,SU-BTT,KILG,Wilmington,DE,Erika,inaccurate,NO_ARCHIVE_COVERAGE,NOT_HEARD,NO,,,,,,,,,no trace for this date; adjacent days were asked and empty. Not evidence of absence.,,,"SAYS NOTHING EITHER WAY. No free ADS-B archive reaches 2023-09-03 or the day either side for SU-BTT; the control probe returns NOT_COVERED for unrelated aircraft on the same dates, so this is an archive limit and not suppression.",site/docs/Planes/following/overlap/20230903_DE_wilmington_owens_018/overview.mdx
OWENS-019,2024-01-10,SU-BTT,KSMF,Sacramento,CA,Erika,inaccurate,NOT_HEARD,NO_ARCHIVE_COVERAGE,NO,,,,,,,,,no trace on disk and no recorded query for this tail on this date,,,"NOT A REFUTATION. The archives cover 2024-01-10 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20240110_CA_sacramento_owens_019/overview.mdx
OWENS-020,2024-02-09,SU-BTT,KOMA,Omaha / Lincoln,NE,TPUSA,partial,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2024-02-09,,,"adsb-lol,airplanes-live",0.31,366,no,KLNK,"trace passes 0.31 km from KOMA at 366 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BTT adsb-lol: closest 0.31km to KOMA at 18:16:07Z (alt 1350, AGL 366), on-ground that day: none ; SU-BTT airplanes-live: closest 0.6km to KOMA at 18:16:11Z (alt 1600, AGL 616), on-ground that day: KLNK",0.31,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2024-02-09, closest approach 0.31 km to KOMA at 2024-02-09T18:16:07.010Z, airborne (both archives agree). Last fix KLNK/LNK (Lincoln Airport, Lincoln NE) 4.23km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240209_NE_omaha_lincoln_owens_020/overview.mdx
OWENS-021,2024-02-14,SU-BTT,KILG,Wilmington,DE,Erika,inaccurate,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2024-02-14,,,"adsb-lol,airplanes-live",0.82,-180,no,,"trace passes 0.82 km from KILG at -180 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BTT adsb-lol: closest 0.82km to KILG at 16:38:55Z (alt -100, AGL -180), on-ground that day: none ; SU-BTT airplanes-live: closest 0.82km to KILG at 16:38:55Z (alt -100, AGL -180), on-ground that day: none",0.82,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2024-02-14, closest approach 0.82 km to KILG at 2024-02-14T16:38:55.260Z, airborne (both archives agree). Last fix KILG/ILG (Wilmington Airport, Wilmington DE) 0.82km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240214_DE_wilmington_owens_021/overview.mdx
OWENS-022,2024-03-18,SU-BTT,KICT,Wichita,KS,Erika,inaccurate,NOT_HEARD,NOT_HEARD,yes,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"NOT A REFUTATION. The archives cover 2024-03-18 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20240318_KS_wichita_owens_022/overview.mdx
OWENS-023,2024-03-29,SU-BTT,KICT,Wichita,KS,Charlie,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2024-03-29,,,"adsb-lol,airplanes-live",1.83,267,no,,"trace passes 1.83 km from KICT at 267 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BTT adsb-lol: closest 2.27km to KICT at 19:19:00Z (alt 1675, AGL 342), on-ground that day: none ; SU-BTT airplanes-live: closest 1.83km to KICT at 19:19:09Z (alt 1600, AGL 267), on-ground that day: none",2.27,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2024-03-29, closest approach 2.27 km to KICT at 2024-03-29T19:19:00.940Z, airborne (both archives agree). Last fix KICT/ICT (Wichita Dwight D. Eisenhower National Airport, Wichita KS) 2.27km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240329_KS_wichita_owens_023/overview.mdx
OWENS-024,2024-04-03,SU-BTT,KICT,Wichita / Lawrence,KS,Charlie,partial,ELSEWHERE,CONFIRMS_DEPARTURE_FROM_CLAIMED_FIELD,NO,2024-04-03,,"RETRACT ""REFUTED"". Change ELSEWHERE -> AT_CLAIMED_AIRPORT (departure). This is a hard reversal.","adsb-lol,airplanes-live",1.43,342,no,,"airplanes.live trace OPENS with SU-BTT climbing out of Wichita: 13:43:30Z, 1.4 km from KICT, 1,675 ft baro (342 ft AGL), then a continuous FL410 leg to a landing at Wilmington KILG at 16:05Z. The adsb.lol trace for the same day does not start until 14:15Z over Missouri, which is why the published note reports a 1,853 km closest approach and calls the claim REFUTED.","SU-BTT adsb-lol: closest 424.86km to KICT at 14:15:16Z (alt 41000, AGL 39667), on-ground that day: none ; SU-BTT airplanes-live: closest 1.43km to KICT at 13:43:30Z (alt 1675, AGL 342), on-ground that day: none",1853,"REFUTED. SU-BTT was tracked on 2024-04-03 and was somewhere else: KVER (Jesse Viertel Memorial Airport, Boonville MO) 16.01km to KILG/ILG (Wilmington Airport, Wilmington DE) 1.48km. Closest approach to KICT was 1853 km at 2024-04-03T15:54:45.350Z.",site/docs/Planes/following/overlap/20240403_KS_wichita_lawrence_owens_024/overview.mdx
OWENS-025,2024-04-19,SU-BND,KPVU,Provo,UT,Erika,inaccurate,AT_CLAIMED_AIRPORT,CONFIRMS_ON_GROUND_AT_CLAIMED_FIELD,yes,2024-04-19,,,"adsb-lol,airplanes-live",0.02,-122,yes,"KPVU,KSLC",on-ground position within 3 km of KPVU on the claimed date,"SU-BND adsb-lol: closest 0.02km to KPVU at 21:33:34Z (alt 4375, AGL -122), on-ground that day: KPVU,KSLC ; SU-BND airplanes-live: closest 0.02km to KPVU at 21:33:34Z (alt 4375, AGL -122), on-ground that day: KPVU,KSLC",0.05,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BND tracked 2024-04-19, closest approach 0.05 km to KPVU at 2024-04-19T21:33:34.670Z, ON THE GROUND (both archives agree). Last fix KPVU/PVU (Provo Municipal Airport, Provo UT) 1.45km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240419_UT_provo_owens_025/overview.mdx
OWENS-026,2024-04-23,SU-BTT,KPVU,Provo,UT,Charlie,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_ON_GROUND_AT_CLAIMED_FIELD,yes,2024-04-23,,,"adsb-lol,airplanes-live",0.0,,yes,KPVU,on-ground position within 3 km of KPVU on the claimed date,"SU-BTT adsb-lol: closest 0.0km to KPVU at 18:13:11Z (alt ground, AGL None), on-ground that day: KPVU ; SU-BTT airplanes-live: closest 0.0km to KPVU at 18:13:11Z (alt ground, AGL None), on-ground that day: KPVU",0,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2024-04-23, closest approach 0 km to KPVU at 2024-04-23T18:13:11.070Z, ON THE GROUND (both archives agree). Last fix KPVU/PVU (Provo Municipal Airport, Provo UT) 1.42km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240423_UT_provo_owens_026/overview.mdx
OWENS-027,2024-04-28,SU-BTT,KILG,Wilmington,DE,Erika,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_APPROACH_OR_DEPARTURE,yes,2024-04-28,,,"adsb-lol,airplanes-live",1.56,-80,no,KPVU,"trace passes 1.56 km from KILG at -80 ft AGL - an arrival or departure at the claimed field, but the archive holds no on-ground point","SU-BTT adsb-lol: closest 1.56km to KILG at 17:41:20Z (alt 0, AGL -80), on-ground that day: KPVU ; SU-BTT airplanes-live: closest 1.56km to KILG at 17:41:20Z (alt 0, AGL -80), on-ground that day: KPVU",1.57,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BTT tracked 2024-04-28, closest approach 1.57 km to KILG at 2024-04-28T17:41:20.170Z, airborne (both archives agree). Last fix KILG/ILG (Wilmington Airport, Wilmington DE) 1.57km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20240428_DE_wilmington_owens_027/overview.mdx
OWENS-028,2024-07-20,SU-BTT,KOMA,Omaha / Lincoln,NE,Erika,inaccurate,ELSEWHERE,NOT_HEARD,NO,2024-07-21,YES,"RETRACT ""REFUTED"" - the note rests on 2024-07-21, not on the claimed day, and the claim is physically compatible with it. Local Egyptian sectors on 21 Jul 2024 begin 06:33Z, 10,405 km from Omaha; that leaves the first ~16 h of 20 Jul unaccounted for, and no trace covers it. Change ELSEWHERE -> NOT TESTED.",,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,12020,"REFUTED. SU-BTT was tracked on 2024-07-21 and was somewhere else: HE38 (Abu Rish Valley Airport, EG) 47.71km to HE42 (Quesna Airport, Quesna EG) 12.09km. Closest approach to KOMA was 12020 km at 2024-07-21T08:32:40.530Z.",site/docs/Planes/following/overlap/20240720_NE_omaha_lincoln_owens_028/overview.mdx
OWENS-029,2024-08-17,SU-BTT,KOMA,Omaha / Lincoln,NE,Erika,inaccurate,ELSEWHERE,NO_ARCHIVE_COVERAGE,NO,2024-08-18,YES,"RETRACT ""REFUTED"" - the note rests on 2024-08-18, not on the claimed day, and the claim is physically compatible with it. Local Egyptian sectors on 18 Aug 2024 begin 09:36Z, 10,402 km from Omaha; 33.6 h available against 13.0 h needed. Change ELSEWHERE -> NOT TESTED.",,,,,,no trace on disk and no recorded query for this tail on this date,,12310,"REFUTED. SU-BTT was tracked on 2024-08-18 and was somewhere else: HECA/CAI (Cairo International Airport, Cairo EG) 4.81km to EG-0058 (Sahra' Muhafadhat al-Jeezah Airfield, 6th of October EG) 12.74km. Closest approach to KOMA was 12310 km at 2024-08-18T09:37:17.350Z.",site/docs/Planes/following/overlap/20240817_NE_omaha_lincoln_owens_029/overview.mdx
OWENS-030,2024-12-08,SU-BND,KPVU,Provo,UT,Erika,inaccurate,ELSEWHERE,NO_ARCHIVE_COVERAGE,NO,2024-12-07,YES,"RETRACT ""REFUTED"" - the note rests on 2024-12-07, not on the claimed day, and the claim is physically compatible with it. Cairo-area local flying on 7 Dec 2024 ends 17:48Z, 11,431 km from Provo, 30.2 h available against 14.3 h needed. Change ELSEWHERE -> NOT TESTED.",,,,,,no trace on disk and no recorded query for this tail on this date,,,"REFUTED. SU-BND was tracked on 2024-12-07 and was somewhere else: HE15 (Helwan Air Base, Helwan EG) 47.88km to HE38 (Abu Rish Valley Airport, EG) 16.29km. No closest-approach figure was computed: the trace never came within measurable range of KPVU.",site/docs/Planes/following/overlap/20241208_UT_provo_owens_030/overview.mdx
OWENS-031,2025-01-12,SU-BTT,KICT,Wichita,KS,Erika,inaccurate,NOT_HEARD,NOT_HEARD,yes,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"NOT A REFUTATION. The archives cover 2025-01-12 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20250112_KS_wichita_owens_031/overview.mdx
OWENS-032,2025-01-17,SU-BTT,KICT,Wichita,KS,Erika,inaccurate,NOT_HEARD,NOT_HEARD,yes,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"NOT A REFUTATION. The archives cover 2025-01-17 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20250117_KS_wichita_owens_032/overview.mdx
OWENS-033,2025-03-15,SU-BTT,KICT,Wichita,KS,Charlie,inaccurate,NOT_HEARD,NOT_HEARD,yes,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"NOT A REFUTATION. The archives cover 2025-03-15 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20250315_KS_wichita_owens_033/overview.mdx
OWENS-034,2025-03-22,SU-BTT,KICT,Wichita,KS,Charlie,inaccurate,NOT_HEARD,NOT_HEARD,yes,,,,,,,,,"both free archives were ASKED for this exact date and hold nothing (adsb-lol,airplanes-live). Not evidence of absence.",,,"NOT A REFUTATION. The archives cover 2025-03-22 and the day either side, and carry no trace for SU-BTT. An archive with no trace means the networks did not hear the aircraft, not that it was not there.",site/docs/Planes/following/overlap/20250322_KS_wichita_owens_034/overview.mdx
OWENS-035,2025-05-23,SU-BND,KPVU,Provo,UT,Charlie,accurate,AT_CLAIMED_AIRPORT,CONFIRMS_ON_GROUND_AT_CLAIMED_FIELD,yes,2025-05-23,,,"adsb-lol,airplanes-live",0.03,,yes,KPVU,on-ground position within 3 km of KPVU on the claimed date,"SU-BND adsb-lol: closest 0.03km to KPVU at 20:38:06Z (alt ground, AGL None), on-ground that day: KPVU ; SU-BND airplanes-live: closest 0.03km to KPVU at 20:38:06Z (alt ground, AGL None), on-ground that day: KPVU",0.03,"CONFIRMS THE AIRCRAFT ONLY, NOT THE OVERLAP. SU-BND tracked 2025-05-23, closest approach 0.03 km to KPVU at 2025-05-23T20:38:06.220Z, ON THE GROUND (both archives agree). Last fix KPVU/PVU (Provo Municipal Airport, Provo UT) 1.42km. This locates the aircraft; it does not place Charlie or Erika Kirk anywhere.",site/docs/Planes/following/overlap/20250523_UT_provo_owens_035/overview.mdx
