docket_entry	pdf_url
Request/Notice to Submit Motion for Permission to File Overlength Motion to Appear in Civilian Clothes and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/4bd7410f-fb0c-4448-91b5-562d58ea5007.pdf
Motion (Hearing Requested) to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints and Memorandum in Support, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/9bb9127e-4fe5-4c5a-bcdc-13d075d83a90.pdf
Order (Proposed) Temporary Order Allowing Appearance in Civilian Clothing and Without Restraints, 10-9-25	https://andreaburkhart.substack.com/api/v1/file/79fb3af6-01b3-45ff-ab0c-05f5aa152298.pdf
Appearance of Counsel/Notice of Limited Appearance, 10-13-25	https://andreaburkhart.substack.com/api/v1/file/cae71612-738b-421d-a495-a0dd0116a7a9.pdf
Motion for Discovery Protective Order (Stipulated), 10-13-25	https://andreaburkhart.substack.com/api/v1/file/081e0917-8dc6-48c6-be6c-90899a3d8f40.pdf
Interim Order Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-14-25	https://andreaburkhart.substack.com/api/v1/file/53635f32-26c1-4f19-9428-3a99bd25ab85.pdf
Appearance of Counsel/Notice of Limited Appearance (Richard Novak), 10-14-25	https://andreaburkhart.substack.com/api/v1/file/8cfb324b-40ef-40d2-820d-ac2837cce2b8.pdf
Discovery Protective Order, 10-15-25	https://andreaburkhart.substack.com/api/v1/file/01038937-9c9a-48ff-bfca-45b11e9e5b2e.pdf
Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/c81f5dca-05c1-4b9e-85c7-e49db8d41a98.pdf
Order Granting Motion to Classify as Private the Response to Defendant’s Motion to Appear in Civilian Clothing, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/cc24cde3-5dea-4fdb-8b05-9aedfaff8c11.pdf
Order Granting Motion to Preserve Evidence, 10-20-25	https://andreaburkhart.substack.com/api/v1/file/c3b2f538-6a28-433f-b747-04c504a32023.pdf
Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-21-25	https://andreaburkhart.substack.com/api/v1/file/e7480933-c3c2-4c50-86a7-8a02c7133da4.pdf
Order to Transport, 10-21-25	https://andreaburkhart.substack.com/api/v1/file/2874439f-8452-4e7f-b066-a1e5291a1171.pdf
Defendant’s Opposition to the State of Utah’s Motion under Utah Rule of Criminal Procedure 17.5, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/158b5980-30ba-47ab-8f2c-89b3503a082a.pdf
Motion to Set Aside October 20, 2025 Order Granting Motion to Preserve Evidence, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/d1c40a31-b5a5-407f-87ac-1688f8275f76.pdf
Response to Defendant’s Motion to Preserve Evidence, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/dd217f7b-963f-4bce-b506-39915bbabe45.pdf
Opposition to Motion to Strike Response to Defendant’s Motion to Appear at All In-Person Proceedings in Civilian Clothing and Without Restraints, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/4906e387-cf8b-49c1-8a8b-58276bc27942.pdf
Reply in Support of Motion re Restraints and Civilian Clothing, 10-22-25	https://andreaburkhart.substack.com/api/v1/file/d2b26b8a-79e9-4962-add7-363a6c9913af.pdf
Reply in Support of Motion to Strike Response to Defendant’s Motion to Appear at all In-Person Proceedings in Civilian Clothing and Without Restraints, 10-23-25	https://andreaburkhart.substack.com/api/v1/file/c51f289e-1e2c-49cf-a520-016e74ad07aa.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 10-23-25	https://andreaburkhart.substack.com/api/v1/file/341731a2-07d4-4733-8fb0-ee6cd228ea68.pdf
Updated Request and Order for Electronic Media Coverage of Court Proceedings	https://andreaburkhart.substack.com/api/v1/file/3f61785d-901e-4ee5-abbe-ab833657644b.pdf
State’s Notice of Open File Policy and Invitation to Inspect Physical Evidence, 10-27-25	https://andreaburkhart.substack.com/api/v1/file/c3071a53-c395-40d4-8907-9c36a754ab5f.pdf
Ruling and Order Granting Defendant’s Motion to Strike and Granting in Part and Denying in Part Defendant’s Motion to Appear in Civilian Clothing and Without Restraints, 10-27-28	https://andreaburkhart.substack.com/api/v1/file/ded1002f-6589-455b-82c4-d4493cd3def9.pdf
Standing Decorum Order, Effective 10-30-25	https://andreaburkhart.substack.com/api/v1/file/305e9135-e121-4111-9eb6-cd3154fd1ab8.pdf
Motion to Extend Time, Stipulated, 10-27-25	https://andreaburkhart.substack.com/api/v1/file/876c0c5d-f807-4a0d-a071-9c7579547ba2.pdf
Order Granting Stipulated Motion to Extend Time, 10-28-25	https://andreaburkhart.substack.com/api/v1/file/9fb6e672-5892-4eab-85f7-473fa0b7a5e2.pdf
Request for Notice of Motions to Close Judicial Proceedings and Records, 10-30-25	https://andreaburkhart.substack.com/api/v1/file/faf82281-31c5-4536-9d70-f1fae049a220.pdf
Stipulation Motion to Order Transcript and Classify Transcript and Audio as Private, 11-3-25	https://andreaburkhart.substack.com/api/v1/file/e37688ed-8cfc-4d9d-83e4-7f7d6b2b16b6.pdf
Stipulated Motion Regarding Order to Preserve Evidence, 11-3-25	https://andreaburkhart.substack.com/api/v1/file/04d404f9-7f96-430a-86c9-09622fd3064d.pdf
Stipulated Order: (1) Setting aside October 20, 2025 Order Granting Motion to Preserve Evidence; and (2) Granting in Part Motion to Preserve Evidence, 11-4-25	https://andreaburkhart.substack.com/api/v1/file/e0f27b7f-71b3-47f1-8a3a-ab9914ea4c7d.pdf
Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-5-25	https://andreaburkhart.substack.com/api/v1/file/6394bb41-c683-4649-938b-b71b7c1e135d.pdf
State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-6-25	https://andreaburkhart.substack.com/api/v1/file/8189bd29-a134-46e7-9985-659715c22cef.pdf
Defendant Tyler James Robinson s Response to Request for Notice of Motion to Close Judicial Proceedings and Records, 11-10-25	https://andreaburkhart.substack.com/api/v1/file/8aa73f57-79a1-411d-8977-9323a17a0bed.pdf
Order Requiring Parties to Serve All Closure of Reclassification Motions on the Media, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/cd6d864c-ac14-4a06-ab6b-94571ba8f823.pdf
Order for Transcript of October 24, 2025 Hearing, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/9e7215ff-98ec-4958-a5ce-a6e02fe690fd.pdf
Media’s Notice of Service re Motion to Classify Transcript and Audio Filed November 3, 2025, 11-13-25	https://andreaburkhart.substack.com/api/v1/file/6a7caa98-d97c-4db6-aaaf-ea91b4a8b2cb.pdf
Approved Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/b2d2495e-5f44-4b4c-b2e2-8d3b2b61e786.pdf
Not Signed Order (Proposed) Granting Motion to Order Transcript and Classify, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/1baa2009-69b5-4c72-8509-60b97659fa37.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 11-14-25	https://andreaburkhart.substack.com/api/v1/file/f0b798d0-7cfc-427b-ac43-1d5a6afb6a89.pdf
Defendant Tyler James Robinson’s Response to Proposed Media Intervenors Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	https://andreaburkhart.substack.com/api/v1/file/9119f8b7-99de-4ca3-acbc-5379ed75affe.pdf
State’s Response to Motion for Limited Intervention and Request for Notice of Motions to Close, Seal, or Reclassify, 11-19-25	https://andreaburkhart.substack.com/api/v1/file/4c1f4a1f-a77a-4deb-8e4c-5f92a3a3f48e.pdf
Notice for Case 251403576, 11-20-25	https://andreaburkhart.substack.com/api/v1/file/395e8c78-185e-4e82-a706-727b27e9d0d8.pdf
Objection to State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order, 11-20-25	https://andreaburkhart.substack.com/api/v1/file/44c5e7eb-398e-440a-adea-61c6c1fb748a.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/37465370-77b3-439f-bf91-e81f7fcc7df3.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/e2721a6c-2610-4e95-89ee-79b769a309a7.pdf
Order to Transport, 11-21-25	https://andreaburkhart.substack.com/api/v1/file/81a49c78-ef38-4e56-be76-42cc597612c2.pdf
Motion for Limited Intervention, 11-24-25	https://andreaburkhart.substack.com/api/v1/file/9479186a-47db-4d10-b135-a4e9dd1d3192.pdf
Reply in Support of Motion for Limited Intervention (Proposed Media Intervenors), 11-26-25	https://andreaburkhart.substack.com/api/v1/file/59f92197-6e7a-446d-ae98-8432b19b2b9f.pdf
(Previously omitted) Letter From Supreme Court Of Utah, 11-17-25	https://andreaburkhart.substack.com/api/v1/file/e7bd7842-8138-4273-bcad-be29afa0370d.pdf
Reply Supporting State’s Motion to Amend or Clarify Court’s Pre-Trial and Trial Publicity Order (Dkt. #23), 11-28-25	https://andreaburkhart.substack.com/api/v1/file/0772be98-2e34-49ac-b054-45ddd0b69713.pdf
Joint Status Report of the Parties Concerning the Redaction of Portions of the Transcript of the October 24, 2025 Sealed Hearing, 12-4-25	https://andreaburkhart.substack.com/api/v1/file/2035a328-d74d-44cc-98c3-5e165253d8a1.pdf
UOVC Restitution Notice Claim #1113665, 12-5-25	https://andreaburkhart.substack.com/api/v1/file/2617e2f3-c35a-4c15-ba05-4c61b475922a.pdf
Defendant Tyler James Robinson’s Response to the Motion for Limited Intervention of Deseret News, et al. (Dkt 197), 12-8-25	https://andreaburkhart.substack.com/api/v1/file/d32b098a-eedf-4acd-9ecf-0d1741400180.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/b76d3bbe-f81b-455f-a678-1d5c77515f7a.pdf
Media Intervenors Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025 Hearing, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/8f6eac89-c654-43d6-89da-3ca86d390941.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 12-8-25	https://andreaburkhart.substack.com/api/v1/file/fb1011e5-3415-4a54-9fc3-a3a570490bc4.pdf
Defendant Tyler James Robinson’s Reply to Media’s Memorandum Opposing Stipulated Motion to Classify as Private the Transcript and Audio of October 24, 2025, 12-9-25	https://andreaburkhart.substack.com/api/v1/file/6c3d8e5c-cd44-46f6-b376-7344574b1ff9.pdf
Ruling and Order Granting State’s Motion to Clarify Court’s Pretrial and Trial Publicity Order, 12-15-25	https://andreaburkhart.substack.com/api/v1/file/fc16c126-5152-47c2-b0c9-ef1670c9994d.pdf
Motion to Order Transcript and Temporarily Classify Transcript and Audio as Private, 12-17-25	https://andreaburkhart.substack.com/api/v1/file/b81d5e41-98c2-43ed-9577-5ba267c38c97.pdf
(Public Version) Motion to Disqualify, 12-17-25	https://andreaburkhart.substack.com/api/v1/file/da482a5c-24b4-47e2-9faa-98ffd2e82098.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 12-23-25	https://andreaburkhart.substack.com/api/v1/file/3f25a9a6-ea7f-4ddd-aff3-b25f2f276ee6.pdf
REVIEW/ORAL ARGUMENT, 12-24-25	https://andreaburkhart.substack.com/api/v1/file/1a0f2948-be7f-476e-833b-f7b6b525f643.pdf
Ruling and Order re Stipulated Motion to Classify Transcript and Audio as Private, 12-29-25	https://andreaburkhart.substack.com/api/v1/file/6ffe6f26-085b-400a-92f1-f10ad6100f98.pdf
Order Denying the Media’s Request to Intervene, and Standing Order for Rule 4-202.04 Notice of Motions for Classification, 12-29-25	https://andreaburkhart.substack.com/api/v1/file/07006b0e-93fc-447f-93a7-f9dd52396e68.pdf
Transcript of October 24, 2025 Hearing (Redacted Transcript), 12-29-25	https://andreaburkhart.substack.com/api/v1/file/fb25b527-dd12-4b5b-9194-33ee893ef346.pdf
(Previously filed as private) Defendant Motion Filed Jan 9, 2026 wExhibits, 1-9-26	https://andreaburkhart.substack.com/api/v1/file/32f5d075-32a0-49c7-b5a8-aff3a440e6b9.pdf
Opposition to Defendant’s Motion to Disqualify the Utah County Attorney’s Office, 1-10-26	https://andreaburkhart.substack.com/api/v1/file/68d7b85b-b45e-4374-9d51-fb7fa5cbc9c1.pdf
Subpoena for Sgt. David Hull, 1-12-26	https://andreaburkhart.substack.com/api/v1/file/d87741ae-8f5c-458a-b9ed-3582d6796ff4.pdf
Partial Reply to Opposition to Motion to Disqualify (Public), 1-12-26	https://andreaburkhart.substack.com/api/v1/file/fcbf1865-ca6a-4aaa-af0f-eca11cedcb16.pdf
News Media’s Memorandum Opposing Motion to Classify Defendant’s Motion filed January 9, 2026, 1-15-26	https://andreaburkhart.substack.com/api/v1/file/76684818-d964-4ff5-97da-aa2eb0b9f6bf.pdf
Motion to Classify (Motion to Exclude), 1-16-26	https://andreaburkhart.substack.com/api/v1/file/28293317-8c84-4aac-aa7c-664037308841.pdf
Victim Representative’s Invocation of the Speedy Trial Act, 1-16-26	https://andreaburkhart.substack.com/api/v1/file/4bc4e246-f20c-4b75-be20-874a7022aa0b.pdf
Request and Order for Electronic Media Coverage of Court Proceedings, 1-22-26	https://andreaburkhart.substack.com/api/v1/file/b374e5a6-c74c-47a0-8197-e7df8e199e38.pdf
Reply in Support of Motion to Classify as Private - Jan 9, 1-22-26	https://andreaburkhart.substack.com/api/v1/file/10dc3c82-9476-44ed-8763-abbca2a4c535.pdf
News Media’s Memorandum Opposing Motion to Classify re: Motion to Exclude Cameras (Filed January 16, 2026), 1-23-26	https://andreaburkhart.substack.com/api/v1/file/ab312dd5-200e-44b5-8004-7c12d11b7f2e.pdf
New Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 1-23-26	https://andreaburkhart.substack.com/api/v1/file/88c338f3-3016-482b-9f6a-0ac76fe934b3.pdf
Defendant Tyler James Robinson’s Notice of Objection to the State of Utah’s Proposed Exhibit 4.1; Memorandum of Points and Authorities, 1-27-26	https://andreaburkhart.substack.com/api/v1/file/a6064f13-11e1-40d9-8a74-e875c2acc955.pdf
Request and Order for Electronic Media Coverage and Court Proceedings, 1-28-26	https://andreaburkhart.substack.com/api/v1/file/3774401d-b31c-492c-8764-d4a4146a52a2.pdf
News Media’s Motion for Attorneys Eyes Only Access to Closure Motions, 1-29-26	https://andreaburkhart.substack.com/api/v1/file/62941687-b4aa-4fba-8367-86286211a32b.pdf
News Media’s Sur-Reply Opposing Motion to Classify Defendant’s Motion Filed January 9, 2026, 1-29-26	https://andreaburkhart.substack.com/api/v1/file/d390922b-2497-4f5c-b91c-7207854e2996.pdf
State’s Opposition to Motion to Classify Defendant’s Motion Filed January 9, 2026 as Private, 1-29-26	https://andreaburkhart.substack.com/api/v1/file/ae1e9158-e763-4b70-86c1-fa1c342cca6b.pdf
Memorandum in Response to Defendant’s Objection to Exhibit 4.1, 1-29-26	https://andreaburkhart.substack.com/api/v1/file/1c9f8c95-2457-4b02-855d-6ed13e10ed40.pdf
Defendant’s Reply in Support of Motion to Classify Motion to Exclude, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/0ec57362-51b4-4e17-b236-88b3d10b2529.pdf
State’s Opposition to Defendants Motion to Classify Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom as Private, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/944dab81-b617-40f4-8f28-48b8818da35e.pdf
Defendant Tyler Robinson’s Renewed Request that this Court Refer the Motion to Disqualify to the Utah Attorney General Pursuant to Utah Code 17-68-304; Memorandum of Points and Authorities, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/ec2b265d-63ce-43d6-a92f-197dc19ae626.pdf
Opposition to Motion to Exclude Cameras (Provisional Opposition Filed by the News Media), 1-30-26	https://andreaburkhart.substack.com/api/v1/file/ccd4dc83-c116-4aaa-8b8a-faacd97c6ef3.pdf
State’s Memorandum Opposing Defendant’s Motion to Exclude Still Photographers, TV Cameras and Microphones from the Courtroom, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/d9e1bdaa-a4b4-4c08-80c9-4a0b6ab422fe.pdf
Attachment A, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/4f8c1f2a-b3ac-4b45-a105-5b3dd5d64afa.pdf
Attachment B, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/8e8a4d54-873e-45c4-a042-6b468fa293ba.pdf
Attachment C, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/3861f773-b15e-4c78-b0cf-e715c45d1f43.pdf
Attachment D, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/1751f102-7898-4fe3-959c-825b31ef0b16.pdf
Attachment E, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/057ecd8c-a30c-4440-86cd-02463fb10835.pdf
Attachment F, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/05c9d977-32a9-46b5-87b0-ac0f4b184c10.pdf
Attachment G, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/e724be25-6360-4cfa-88ea-16013589a1ba.pdf
Attachment H, 1-30-26	https://andreaburkhart.substack.com/api/v1/file/b07e1145-662a-46fa-88aa-2d21eb8d32c0.pdf
Attachment H, 1-30-26 (*Not a duplicate, the item is misnumbered*)	https://andreaburkhart.substack.com/api/v1/file/6661f07e-e6fb-4ef1-999b-32184875ae6c.pdf
State’s Opposition to Defendant’s Renewed Request to Refer the Motion to Disqualify to the Utah Attorney General, 2-2-26	https://andreaburkhart.substack.com/api/v1/file/be4f17cb-1acd-4e53-996f-93bf8e392046.pdf
Proffer of Facts re Closure of Portions of Evidentiary Hearing on Motion to Disqualify UCAO, 2-2-26	https://andreaburkhart.substack.com/api/v1/file/b16f249c-7d31-461c-a3ca-ad812badf47b.pdf
Notice Concerning Media Access, 2-2-26	https://andreaburkhart.substack.com/api/v1/file/5f56b82f-aa8c-4045-9a16-38ad887c4c4a.pdf
Order for Transport, 2-3-26	https://andreaburkhart.substack.com/api/v1/file/ccd8bd8d-f6f9-41ba-a785-84829d2a2393.pdf
Defendant’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification, 2-4-26	https://andreaburkhart.substack.com/api/v1/file/ab22db3f-f62d-43fd-bf85-7e0436eabeb8.pdf
State’s Response to News Media’s Motion to Amend Standing Order for Rule 4-202.04 Motions for Classification, 2-5-26	https://andreaburkhart.substack.com/api/v1/file/1fea5c3c-9ed6-43fb-b179-5b196740591d.pdf
Defendant’s Reply to State’s Opposition to Motion to Classify Defendant’s Motion Filed Jan 9, 2026 as Private, 2-5-26	https://andreaburkhart.substack.com/api/v1/file/f0671aeb-00df-4c18-b263-05f45bc33599.pdf
Reply to State’s Opposition to Motion to Classify Motion to Exclude Cameras, 2-6-26	https://andreaburkhart.substack.com/api/v1/file/bdc3d47d-c108-4dde-baa8-089f8de0f747.pdf
Memorandum State’s Response to News Media’s Motion for Attorney’s Eyes Only Access to Closure Motions, 2-6-26	https://andreaburkhart.substack.com/api/v1/file/6f183768-3636-492b-9732-d675fd399542.pdf
Opposition to Defendant Tyler James Robinson s Memorandum in Opposition to News Media s Motion for Attorneys Eyes Only Access to Closure Motions, 2-12-26	https://andreaburkhart.substack.com/api/v1/file/a5798218-ceed-4e59-88f4-91d934a7be23.pdf
(Previously omitted from docket) Appellate Court Document (Order), 1-2-26	https://andreaburkhart.substack.com/api/v1/file/e1561109-a74b-4ab8-b52f-909b93c338b4.pdf
Order to Appear for Hearing, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/9351ae05-a0af-450c-8b7d-a17c72237960.pdf
Exhibit List - In Person Oral Argument, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/61123e99-45df-4864-8da8-43052de135e6.pdf
Oral Argument / Evidentiary Hearing, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/c63cfbe8-d75a-4039-8a33-1394254f5963.pdf
Standing Decorum Order, Effective February 24, 2026, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/e0ccb441-480f-49ab-8eb7-169236c7dd9a.pdf
Order on February 3, 2026 Hearing Transcript, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/32c06a8c-15f9-4ed8-a841-636df8a3c87c.pdf
Standing Order on Redacting and Filing Transcripts, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/ba670989-d96c-400a-93c1-2b4fa90beeb5.pdf
Rulings and Orders Granting News Media’s Motion to Amend Standing Order for Rule 4-202.04 Notice of Motions for Classification; Granting News Media’s Motion for Attorneys Eyes Only Access to Closure Motions; and Amended Standing Order, 2-23-26	https://andreaburkhart.substack.com/api/v1/file/36ca3e73-f1ca-4100-9fd8-c4b814ddbe71.pdf
