plane_tail_number,start_date,end_date,city,state,country,airport_code,confidence,source,notes,more_info,mdx_page,attendee_class,charlie_present,erika_present,days_on_ground,days_before_sept10,airport_class,is_us_leg,kirk_event_in_window,kirk_event_gap_days,linked_overlap_ids,metro_area
SU-BND,2025-05-23,2025-09-13,Provo,UT,USA,KPVU,audited_accurate,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","113 CONTINUOUS DAYS on the Provo ramp - the longest published stay by any aircraft in this investigation, covering 10 September. Only local flights were flown during it: Provo-Provo on 10 Jun and a 1:08 Provo-Provo on 5 Sep. Audit: 'ACCURATE POSS BROKEN JET GROUNDED IN PROVO' and 'ONLY LOCAL FLIGHTS WERE FLOWN IN AND AROUND PROVO FROM 10 JUNE-13 SEPT.' Owens: transponder ON on 10 Sep but the aircraft DID NOT TAKE OFF. COUNTERARGUMENT: a four-month stay is a maintenance-visit length, not a surveillance-orbit length. THE OWENS SHEET'S 7 JUL 2025 'GOOSEBAY-PARIS-CAIRO' ROW IS ENTERED TWICE (index 37 and 66) AND BOTH ARE FALSE - the aircraft was here the whole time.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,CHARLIE_ONLY,yes,not_documented,113,110,regional / municipal (Duncan Aviation MRO),yes,The American Comeback Tour — UVU (first stop of the fall tou,0,EXTRA-006;OWENS-035;OWENS-037;OWENS-040;OWENS-041;OWENS-042;OWENS-065;OWENS-066,Wasatch Front UT
SU-BND,2025-09-13,2025-09-13,Happy Valley-Goose Bay,NL,Canada,CYYR,audited_accurate,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Departed Provo 12:57 PM three days after the assassination; Provo-Goose Bay 5:10, landed 9:07 PM; airborne again for Paris 9:57 PM. A ~50-MINUTE TURN - fuel-and-go, with no time for anything longer. Goose Bay is co-located with 5 Wing Goose Bay (RCAF). COUNTERARGUMENT: it is the classic North Atlantic tech stop and has been since 1941; a range-limited Gulfstream IV has essentially no alternative at that latitude. Audit marks this departure accurate.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/GooseBay_CYYR_2023-05-09_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,-3,"joint civil-military, North Atlantic tech stop",no,,,,Goose Bay NL
SU-BND,2025-09-13,2025-09-15,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","TWO NIGHTS - the only stop longer than one night anywhere in the captured record for any tail. Goose Bay-Paris 5:09, landed 8:05 AM 13 Sep; Paris-Cairo 4:08 on 15 Sep. COUNTERARGUMENT AND PROBABLY THE ANSWER: 13 September 2025 was a Saturday and 15 September a Monday. A weekend layover after a 10-hour day across five time zones is the most ordinary thing a business-jet crew does. Recorded because it is an anomaly against this fleet's own pattern and nobody else has recorded it.",site/docs/Planes/SU-BND.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,2,-3,business-aviation airport,no,,,,Paris FR
SU-BTT,2024-04-01,UNKNOWN,Provo,UT,USA,KPVU,disputed_unverified,"@AuntLinda__ (Dec 2025), relayed claim - no primary screenshot published, month only, no day.","DISPUTED / UNVERIFIED. If true it undercuts the 'first US trip was 20 July 2025' framing. Kept as a flagged row rather than built on. NOTE: the audited 23 Apr 2024 Williston-Provo arrival is a separate, sourced event - see the Williston page.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,527,regional / municipal (Duncan Aviation MRO),yes,,,,Wasatch Front UT
SU-BTT,2024-04-23,2024-04-28,Provo,UT,USA,KPVU,audited_accurate,"Owens sheet index 26, marked accurate by the independent audit: 'Acc 4/22-23. Williston code XWA'; Provo landing time 12:13 pm from the three-column researcher chronology on X.","Entered the US at WILLISTON, ND (XWA). Charlie Kirk was at the University of Utah, Salt Lake City, the same day for a 'Prove Me Wrong' event - the tightest sourced pre-2025 pairing. COUNTERARGUMENT: the Kirk-side event is UNCITED; no ticket page, venue announcement or contemporaneous post has been produced. SU-BND was already parked at Provo since 19 Apr.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,NONE_DOCUMENTED,not_documented,not_documented,5,505,regional / municipal (Duncan Aviation MRO),yes,,,OWENS-026,Wasatch Front UT
SU-BTT,2024-04-23,2024-04-23,Williston,ND,USA,KXWA,audited_accurate,Owens sheet index 26 and its independent audit: 'Acc 4/22-23. Williston code XWA'; Provo landing time from the three-column researcher chronology on X.,"US ENTRY, same-day transit. Cairo-Paris 22 Apr, Paris-Williston then Williston-Provo 23 Apr, landing Provo 12:13 pm. THE 2024 PRECEDENT FOR MINOT: every Utah-bound rotation this fleet flew entered the United States through North Dakota - Williston once in 2024, Minot four times in 2025, five flights across two years with no exceptions, while the Nebraska, Michigan and Missouri rotations used ordinary hubs. Williston Basin International (KXWA) opened Oct 2019 to serve the Bakken oil boom, replacing Sloulin Field (ISN). COUNTERARGUMENT: XWA carries the International designation and sits in the latitude band where a northern-route crossing makes landfall; and the same-day Kirk pairing (University of Utah 'Prove Me Wrong', 45 miles north) is UNCITED.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Williston_KXWA_2024-04-23_to_2024-04-23.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,505,small commercial international (US customs),yes,,,,Williston ND
SU-BTT,2025-07-19,2025-07-20,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,53,business-aviation airport,no,,,,Paris FR
SU-BTT,2025-07-20,2025-07-20,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Trackers call this SU-BTT's first-ever US landing. @Borrowed7Time logged Paris-Omaha Eppley (KOMA), a CIVIL field; later compilations relabel it 'an Army base' and NO primary post naming Offutt, Camp Ashland or any Army installation has been found. Hop to Lincoln 0:16.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,52,commercial international (US customs),yes,,,OWENS-038,Omaha-Lincoln NE
SU-BTT,2025-07-20,2025-07-26,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant. Audit verdict on this rotation: 'Partially Accurate - Cairo/Paris/Omaha/Lincoln on 7/19 and 7/20; Lincoln/Wilmington/Cairo on 7/26 and 7/27.',site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,52,commercial / joint civil-military (Duncan Aviation HQ),yes,,,OWENS-067,Omaha-Lincoln NE
SU-BTT,2025-07-26,2025-07-27,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:19.,site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,46,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTT,2025-08-16,2025-08-17,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,25,business-aviation airport,no,,,,Paris FR
SU-BTT,2025-08-17,2025-08-17,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Entry field. Paris-Omaha 8:48; hop to Lincoln 0:18. Audit: 'ACCURATE-ISH. FLIGHT BEGAN IN CAIRO 16AUG STRAIGHT THROUGH TO PARIS/OMAHA/LINCOLN.',site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,24,commercial international (US customs),yes,,,OWENS-039,Omaha-Lincoln NE
SU-BTT,2025-08-17,2025-08-23,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant.,site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,24,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTT,2025-08-23,2025-08-24,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 10:07.,site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,18,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTT,2025-09-03,2025-09-04,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,7,business-aviation airport,no,,,,Paris FR
SU-BTT,2025-09-04,2025-09-04,Minot,ND,USA,KMOT,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","US ENTRY for the September window. Paris-Minot 8:52; Minot-Provo 1:39, landed 12:46 PM. Audit: 'ACCURATE-ISH. FLIGHT BEGAN ON 3SEPT AND RETURN LEG WAS 10SEPT PRIOR TO ASSASINATION.' Customs for everyone aboard happened at Minot. Nobody has requested the records.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Minot_KMOT_2025-04-08_to_2025-09-04.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,6,small commercial international (US customs),yes,,,,Minot ND
SU-BTT,2025-09-04,2025-09-10,Provo,UT,USA,KPVU,audited_accurate,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","THE SEPTEMBER WINDOW. Six days on the Provo ramp, departing the morning of the assassination. The audit marks the arrival accurate and the departure accurate while CORRECTING its stated origin from 'Paris' to Provo: 'PROVO, NOT PARIS, FOLLOWED BY WILMINGTON THEN CAIRO.' Departure time is DISPUTED - 7:08 AM MT vs 7:14 AM local in the researcher chronology vs other readings. COUNTERARGUMENT: neither Kirk is documented at Provo at any point during this stay; Charlie Kirk was in Seoul on 5-6 Sep and Tokyo on 7 Sep.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Provo_KPVU_2024-04-19_to_2025-09-13.mdx,CHARLIE_ONLY,yes,not_documented,6,6,regional / municipal (Duncan Aviation MRO),yes,The American Comeback Tour — UVU (first stop of the fall tou,0,EXTRA-006;OWENS-040;OWENS-041;OWENS-042,Wasatch Front UT
SU-BTT,2025-09-10,2025-09-11,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Provo-Wilmington 3:37, departing the morning of 10 September BEFORE the assassination. Wilmington-Cairo 9:43 on 11 September. Squawk 0000 on the Provo-Wilmington leg per the Flightradar24 playback card.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,0,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTT,2025-10-01,UNKNOWN,Wichita,KS,USA,KICT,unverified_claim,"X thread claim; date range approximate, no ADS-B capture published.","UNVERIFIED. Carried so the claim is not silently dropped. The captured SU-BTT history shows the aircraft flying Cairo-local sectors through October and November 2025 (Medina, Jeddah, Sharm el-Sheikh, Nice, Antalya), with no US legs after 11 September.",site/docs/Planes/SU-BTT.mdx,site/docs/Planes/following/Wichita_KICT_2022-11-13_to_2025-08-03.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,-21,commercial international (Yingling Falcon MRO),yes,,,,Wichita KS
SU-BTU,2024-11-25,2024-11-26,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,289,business-aviation airport,no,,,,Paris FR
SU-BTU,2024-11-26,2024-11-26,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Entry field. Paris-Omaha 9:12, landed 1:45 PM; hop to Lincoln 0:19, landed 4:28 PM. Not a destination - every Omaha arrival by this fleet is followed within twenty minutes by a hop to Lincoln.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,288,commercial international (US customs),yes,,,,Omaha-Lincoln NE
SU-BTU,2024-11-26,2024-12-01,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Five-day stay. Lincoln is Duncan Aviation's main plant; the Egyptian Air Force has held an account there since 1999 under a five-year contract announced 29 Oct 2015 (Duncan press release, quoting Manager of Government & Special Programs Dave Shipperbottom; first EAF aircraft arrived Lincoln 20 Oct 2015 for a Z-check). STRONGEST COUNTER-EXPLANATION IN THE CASE.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,5,288,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTU,2024-12-01,2024-12-03,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Outbound customs and fuel stop. Wilmington appears on the outbound leg only, every time, for three years. Cairo direct 9:36.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,2,283,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
SU-BTU,2025-01-16,2025-01-17,Le Bourget,,France,LFPB,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.","Westbound crew-duty overnight. Every Le Bourget stop in the captured record is one night: arrive early afternoon, depart the following morning. No Falcon in this fleet stops at Paris eastbound - Wilmington-Cairo is flown nonstop. COUNTERARGUMENT: Le Bourget is the default European business-aviation stop and the overnight is a flight-time-limitation artefact, not a behaviour. No Kirk or TPUSA pairing has ever been claimed in France.",site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Paris_LFPB_2022-10-05_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,237,business-aviation airport,no,,,,Paris FR
SU-BTU,2025-01-17,2025-01-17,Omaha,NE,USA,KOMA,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Entry field. Paris-Omaha 9:10; hop to Lincoln 0:15.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Omaha_KOMA_2024-02-09_to_2025-10-05.mdx,NONE_DOCUMENTED,not_documented,not_documented,0,236,commercial international (US customs),yes,,,,Omaha-Lincoln NE
SU-BTU,2025-01-17,2025-01-23,Lincoln,NE,USA,KLNK,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Six-day stay at Duncan Aviation's main plant.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Lincoln_KLNK_2024-02-09_to_2025-10-11.mdx,NONE_DOCUMENTED,not_documented,not_documented,6,236,commercial / joint civil-military (Duncan Aviation HQ),yes,,,,Omaha-Lincoln NE
SU-BTU,2025-01-23,2025-01-24,Wilmington,DE,USA,KILG,adsb_captured,"Flightradar24 aircraft-history screenshot for this tail (@WeAre_TheElite 5-plane set, re-posted by @ProjectConstitu 1 Nov 2025). Read from the table text, not the tracker's highlighting.",Outbound stop. Cairo direct 9:52.,site/docs/Planes/SU-BTU.mdx,site/docs/Planes/following/Wilmington_KILG_2022-11-17_to_2025-10-12.mdx,NONE_DOCUMENTED,not_documented,not_documented,1,230,"commercial / GA, Air National Guard (US customs)",yes,,,,Delaware Valley DE/PA/NJ
