# DocumentCloud project 224251 "Charlie Kirk Murder Case and Tyler Robinson" — 46 filings
# SOURCE: https://api.www.documentcloud.org/api/documents/search/?q=%2Bproject%3A224251&per_page=100
# PROJECT PAGE: https://www.documentcloud.org/projects/224251-charlie-kirk-murder-case-and-tyler-robinson/
# RETRIEVED: 2026-08-31 via WebFetch (s3.documentcloud.org and api.www.documentcloud.org return HTTP 403 to curl/scripted clients — Cloudflare)
# VALUE: the DOCKET NUMBER crosswalk. Titles carry "- docket NNN".
# PDF URL pattern (browser only): https://s3.documentcloud.org/documents/<id>/<slug>.pdf
# columns: id	title	pages	slug
27880862	11-4-2025 Order Stipulated Order (1) Setting Aside 10-20-2025 Order Granting Motion to Preserve Evidence and (2) Granting In Part Motion to Preserve Evidence - docket 161	4	11-4-2025-order-stipulated-order-1-setting-aside-10-20-2025-order-granting-motion-to-preserve-evidence-and-2-granting-in-part-motion-to-preserve-evidence-docket-161
27880861	11-3-2025 defendant stipulated Motion to Order Transcript and Classify Transcript and Audio as Private from 10-24-2025 - docket 152	3	11-3-2025-defendant-stipulated-motion-to-order-transcript-and-classify-transcript-and-audio-as-private-from-10-24-2025-docket-152
27880860	9-16-2025 proposed pretrial protective order - docket 7	6	9-16-2025-proposed-pretrial-protective-order-docket-7
27880859	10-08-2025 Copy of Video-Audio Record completed - docket 74	2	10-08-2025-copy-of-video-audio-record-completed-docket-74
27880858	11-10-2025 Defendant Tyler James Robinson Response to Request for Notice of Motion to Close Judicial Proceedings and Records - docket 169	7	11-10-2025-defendant-tyler-james-robinson-response-to-request-for-notice-of-motion-to-close-judicial-proceedings-and-records-docket-169
27880857	10-08-2025 Defendant Motion to Preserve Evidence - docket 75	3	10-08-2025-defendant-motion-to-preserve-evidence-docket-75
27880543	9-10-2025 utah county district attorney press release after shooting	1	9-10-2025-utah-county-district-attorney-press-release-after-shooting
27880541	9-22-2025 prosecutor Christopher Ballard biography	2	9-22-2025-prosecutor-christopher-ballard-biography
27880540	9-22-2025 prosecutor Lauren Hunt biography	1	9-22-2025-prosecutor-lauren-hunt-biography
27880539	9-22-2025 prosecutor Chad Grunander biography	2	9-22-2025-prosecutor-chad-grunander-biography
27880538	9-22-2025 prosecutor David Sturgill biography	1	9-22-2025-prosecutor-david-sturgill-biography
27880537	9-22-2025 prosecutor Ryan McBride biography	2	9-22-2025-prosecutor-ryan-mcbride-biography
27880536	9-22-2025 prosecutor jeffrey gray biography	2	9-22-2025-prosecutor-jeffrey-gray-biography
27880535	9-22-2025 Utah County District Attorney press release - tyler robinson prosecutor trial team	2	9-22-2025-utah-county-district-attorney-press-release-tyler-robinson-trial-team
27880534	tyler robinson utah county sheriff office inmate custody booking	1	tyler-robinson-utah-county-sheriff-office-inmate-custody-booking
27880533	tyler robinson all docket entries as of 3-15-2026	13	tyler-robinson-all-docket-entries-as-of-3-15-2026
27880532	tyler robinson information of charges filing by district attorney 9-16-2025	10	tyler-robinson-information-of-charges-filing-by-district-attorney-9-16-2025
27880531	tyler robinson case list of all filings and hearings as of 3-15-2026	31	list-of-all-filings-and-hearings-as-of-3-15-2026
27880530	utah county district attorney affidavit of probable cause against tyler robinson 9-16-2025	3	utah-county-district-attorney-affidavit-of-probable-cause-against-tyler-robinson-9-16-2025
27880529	tyler robinson case search on utah state court online xchange service	2	tyler-robinson-case-search-on-utah-state-court-online-xchange-service
